# Chi2 Rg SupportVolume
4.15793e+04 7.53339e+01 7.55261e+06
3.19666e+00 7.26419e+01 7.55261e+06
3.16992e+00 7.16900e+01 7.55261e+06
3.14373e+00 7.11047e+01 7.55261e+06
3.11745e+00 7.04949e+01 7.55261e+06
3.09117e+00 6.98870e+01 7.55261e+06
3.06524e+00 6.93228e+01 7.55261e+06
3.03962e+00 6.88621e+01 7.55261e+06
3.01441e+00 6.84395e+01 7.55261e+06
2.98964e+00 6.80755e+01 7.55261e+06
2.96530e+00 6.77634e+01 7.55261e+06
2.94136e+00 6.74999e+01 7.55261e+06
2.91783e+00 6.72331e+01 7.55261e+06
2.89463e+00 6.69678e+01 7.55261e+06
2.87158e+00 6.67230e+01 7.55261e+06
2.84882e+00 6.64665e+01 7.55261e+06
2.82628e+00 6.62021e+01 7.55261e+06
2.80406e+00 6.59704e+01 7.55261e+06
2.78211e+00 6.57464e+01 7.55261e+06
2.76043e+00 6.55301e+01 7.55261e+06
2.73895e+00 6.53421e+01 7.55261e+06
2.71781e+00 6.51627e+01 7.55261e+06
2.69696e+00 6.49792e+01 7.55261e+06
2.67632e+00 6.48149e+01 7.55261e+06
2.65597e+00 6.46558e+01 7.55261e+06
2.63580e+00 6.45054e+01 7.55261e+06
2.61589e+00 6.43723e+01 7.55261e+06
2.59623e+00 6.42432e+01 7.55261e+06
2.57685e+00 6.41284e+01 7.55261e+06
2.55778e+00 6.40217e+01 7.55261e+06
2.53898e+00 6.39158e+01 7.55261e+06
2.52042e+00 6.38194e+01 7.55261e+06
2.50205e+00 6.37272e+01 7.55261e+06
2.48388e+00 6.36421e+01 7.55261e+06
2.46594e+00 6.35561e+01 7.55261e+06
2.44818e+00 6.34723e+01 7.55261e+06
2.43059e+00 6.33908e+01 7.55261e+06
2.41321e+00 6.33140e+01 7.55261e+06
2.39602e+00 6.32417e+01 7.55261e+06
2.37899e+00 6.31715e+01 7.55261e+06
2.36210e+00 6.31048e+01 7.55261e+06
2.34542e+00 6.30452e+01 7.55261e+06
2.32895e+00 6.29864e+01 7.55261e+06
2.31266e+00 6.29257e+01 7.55261e+06
2.29661e+00 6.28661e+01 7.55261e+06
2.28070e+00 6.28065e+01 7.55261e+06
2.26497e+00 6.27433e+01 7.55261e+06
2.24942e+00 6.26800e+01 7.55261e+06
2.23411e+00 6.26178e+01 7.55261e+06
2.21894e+00 6.25550e+01 7.55261e+06
2.20392e+00 6.24926e+01 7.55261e+06
2.18908e+00 6.24328e+01 7.55261e+06
2.17438e+00 6.23726e+01 7.55261e+06
2.15985e+00 6.23131e+01 7.55261e+06
2.14548e+00 6.22526e+01 7.55261e+06
2.13125e+00 6.21907e+01 7.55261e+06
2.11713e+00 6.21312e+01 7.55261e+06
2.10314e+00 6.20688e+01 7.55261e+06
2.08937e+00 6.20067e+01 7.55261e+06
2.07571e+00 6.19463e+01 7.55261e+06
2.06220e+00 6.18872e+01 7.55261e+06
2.04888e+00 6.18292e+01 7.55261e+06
2.03574e+00 6.17704e+01 7.55261e+06
2.02276e+00 6.17128e+01 7.55261e+06
2.00991e+00 6.16542e+01 7.55261e+06
1.99718e+00 6.15956e+01 7.55261e+06
1.98454e+00 6.15387e+01 7.55261e+06
1.97203e+00 6.14818e+01 7.55261e+06
1.95967e+00 6.14265e+01 7.55261e+06
1.94745e+00 6.13719e+01 7.55261e+06
1.93536e+00 6.13183e+01 7.55261e+06
1.92340e+00 6.12643e+01 7.55261e+06
1.91158e+00 6.12111e+01 7.55261e+06
1.89990e+00 6.11587e+01 7.55261e+06
1.88834e+00 6.11079e+01 7.55261e+06
1.87687e+00 6.10573e+01 7.55261e+06
1.86551e+00 6.10061e+01 7.55261e+06
1.85425e+00 6.09573e+01 7.55261e+06
1.84308e+00 6.09088e+01 7.55261e+06
1.83202e+00 6.08605e+01 7.55261e+06
1.82108e+00 6.08124e+01 7.55261e+06
1.81024e+00 6.07636e+01 7.55261e+06
1.79951e+00 6.07151e+01 7.55261e+06
1.78886e+00 6.06680e+01 7.55261e+06
1.77830e+00 6.06213e+01 7.55261e+06
1.76780e+00 6.05759e+01 7.55261e+06
1.75738e+00 6.05293e+01 7.55261e+06
1.74702e+00 6.04826e+01 7.55261e+06
1.73678e+00 6.04354e+01 7.55261e+06
1.72665e+00 6.03871e+01 7.55261e+06
1.71660e+00 6.03390e+01 7.55261e+06
1.70667e+00 6.02900e+01 7.55261e+06
1.69683e+00 6.02405e+01 7.55261e+06
1.68705e+00 6.01923e+01 7.55261e+06
1.67736e+00 6.01450e+01 7.55261e+06
1.66777e+00 6.00976e+01 7.55261e+06
1.65827e+00 6.00511e+01 7.55261e+06
1.64889e+00 6.00060e+01 7.55261e+06
1.63958e+00 5.99605e+01 7.55261e+06
1.63034e+00 5.99144e+01 7.55261e+06
1.62116e+00 5.98674e+01 7.55261e+06
1.61207e+00 5.98204e+01 7.55261e+06
1.60307e+00 5.97729e+01 7.55261e+06
1.59413e+00 5.97263e+01 7.55261e+06
1.58528e+00 5.96795e+01 7.55261e+06
1.57649e+00 5.96324e+01 7.55261e+06
1.56774e+00 5.95853e+01 7.55261e+06
1.55906e+00 5.95376e+01 7.55261e+06
1.55043e+00 5.94896e+01 7.55261e+06
1.54184e+00 5.94413e+01 7.55261e+06
1.53331e+00 5.93929e+01 7.55261e+06
1.52485e+00 5.93447e+01 7.55261e+06
1.51643e+00 5.92974e+01 7.55261e+06
1.50807e+00 5.92509e+01 7.55261e+06
1.49974e+00 5.92047e+01 7.55261e+06
1.49149e+00 5.91584e+01 7.55261e+06
1.48328e+00 5.91122e+01 7.55261e+06
1.47514e+00 5.90665e+01 7.55261e+06
1.46707e+00 5.90217e+01 7.55261e+06
1.45913e+00 5.89773e+01 7.55261e+06
1.45130e+00 5.89327e+01 7.55261e+06
1.44354e+00 5.88882e+01 7.55261e+06
1.43584e+00 5.88435e+01 7.55261e+06
1.42821e+00 5.87988e+01 7.55261e+06
1.42065e+00 5.87538e+01 7.55261e+06
1.41315e+00 5.87084e+01 7.55261e+06
1.40572e+00 5.86627e+01 7.55261e+06
1.39834e+00 5.86169e+01 7.55261e+06
1.39099e+00 5.85707e+01 7.55261e+06
1.38367e+00 5.85252e+01 7.55261e+06
1.37640e+00 5.84803e+01 7.55261e+06
1.36919e+00 5.84364e+01 7.55261e+06
1.36205e+00 5.83926e+01 7.55261e+06
1.35497e+00 5.83484e+01 7.55261e+06
1.34795e+00 5.83041e+01 7.55261e+06
1.34098e+00 5.82599e+01 7.55261e+06
1.33406e+00 5.82156e+01 7.55261e+06
1.32718e+00 5.81719e+01 7.55261e+06
1.32037e+00 5.81293e+01 7.55261e+06
1.31364e+00 5.80869e+01 7.55261e+06
1.30697e+00 5.80440e+01 7.55261e+06
1.30037e+00 5.80010e+01 7.55261e+06
1.29381e+00 5.79580e+01 7.55261e+06
1.28732e+00 5.79156e+01 7.55261e+06
1.28093e+00 5.78737e+01 7.55261e+06
1.27462e+00 5.78307e+01 7.55261e+06
1.26834e+00 5.77877e+01 7.55261e+06
1.26210e+00 5.77448e+01 7.55261e+06
1.25589e+00 5.77021e+01 7.55261e+06
1.24974e+00 5.76601e+01 7.55261e+06
1.24362e+00 5.76181e+01 7.55261e+06
1.23756e+00 5.75763e+01 7.55261e+06
1.23154e+00 5.75345e+01 7.55261e+06
1.22555e+00 5.74928e+01 7.55261e+06
1.21959e+00 5.74514e+01 7.55261e+06
1.21368e+00 5.74108e+01 7.55261e+06
1.20783e+00 5.73703e+01 7.55261e+06
1.20203e+00 5.73296e+01 7.55261e+06
1.19627e+00 5.72888e+01 7.55261e+06
1.19054e+00 5.72480e+01 7.55261e+06
1.18482e+00 5.72071e+01 7.55261e+06
1.17913e+00 5.71665e+01 7.55261e+06
1.17349e+00 5.71255e+01 7.55261e+06
1.16789e+00 5.70842e+01 7.55261e+06
1.16232e+00 5.70427e+01 7.55261e+06
1.15679e+00 5.70010e+01 7.55261e+06
1.15131e+00 5.69597e+01 7.55261e+06
1.14587e+00 5.69184e+01 7.55261e+06
1.14047e+00 5.68771e+01 7.55261e+06
1.13514e+00 5.68359e+01 7.55261e+06
1.12984e+00 5.67946e+01 7.55261e+06
1.12457e+00 5.67533e+01 7.55261e+06
1.11932e+00 5.67125e+01 7.55261e+06
1.11411e+00 5.66722e+01 7.55261e+06
1.10894e+00 5.66324e+01 7.55261e+06
1.10381e+00 5.65928e+01 7.55261e+06
1.09871e+00 5.65532e+01 7.55261e+06
1.09365e+00 5.65133e+01 7.55261e+06
1.08862e+00 5.64735e+01 7.55261e+06
1.08364e+00 5.64340e+01 7.55261e+06
1.07869e+00 5.63947e+01 7.55261e+06
1.07377e+00 5.63553e+01 7.55261e+06
1.06890e+00 5.63160e+01 7.55261e+06
1.06405e+00 5.62769e+01 7.55261e+06
1.05921e+00 5.62382e+01 7.55261e+06
1.05442e+00 5.61995e+01 7.55261e+06
1.04969e+00 5.61608e+01 7.55261e+06
1.04501e+00 5.61224e+01 7.55261e+06
1.04039e+00 5.60842e+01 7.55261e+06
1.03579e+00 5.60463e+01 7.55261e+06
1.03123e+00 5.60087e+01 7.55261e+06
1.02671e+00 5.59709e+01 7.55261e+06
1.02223e+00 5.59329e+01 7.55261e+06
1.01778e+00 5.58950e+01 7.55261e+06
1.01337e+00 5.58573e+01 7.55261e+06
1.00899e+00 5.58195e+01 7.55261e+06
1.00464e+00 5.57825e+01 7.55261e+06
1.00032e+00 5.57459e+01 7.55261e+06
9.96027e-01 5.57091e+01 7.55261e+06
9.91767e-01 5.56723e+01 7.55261e+06
9.87530e-01 5.56354e+01 7.55261e+06
9.83309e-01 5.55986e+01 7.55261e+06
9.79104e-01 5.55616e+01 7.55261e+06
9.74914e-01 5.55245e+01 7.55261e+06
9.70743e-01 5.54875e+01 7.55261e+06
9.66594e-01 5.54506e+01 7.55261e+06
9.62477e-01 5.54140e+01 7.55261e+06
9.58396e-01 5.53774e+01 7.55261e+06
9.54357e-01 5.53405e+01 7.55261e+06
9.50345e-01 5.53038e+01 7.55261e+06
9.46357e-01 5.52676e+01 7.55261e+06
9.42408e-01 5.52313e+01 7.55261e+06
9.38474e-01 5.51949e+01 7.55261e+06
9.34558e-01 5.51588e+01 7.55261e+06
9.30665e-01 5.51225e+01 7.55261e+06
9.26792e-01 5.50864e+01 7.55261e+06
9.22944e-01 5.50505e+01 7.55261e+06
9.19117e-01 5.50151e+01 7.55261e+06
9.15317e-01 5.49798e+01 7.55261e+06
9.11529e-01 5.49446e+01 7.55261e+06
9.07766e-01 5.49095e+01 7.55261e+06
9.04031e-01 5.48746e+01 7.55261e+06
9.00319e-01 5.48397e+01 7.55261e+06
8.96619e-01 5.48048e+01 7.55261e+06
8.92935e-01 5.47697e+01 7.55261e+06
8.89271e-01 5.47348e+01 7.55261e+06
8.85642e-01 5.47001e+01 7.55261e+06
8.82035e-01 5.46657e+01 7.55261e+06
8.78455e-01 5.46316e+01 7.55261e+06
8.74899e-01 5.45978e+01 7.55261e+06
8.71368e-01 5.45640e+01 7.55261e+06
8.67858e-01 5.45301e+01 7.55261e+06
8.64368e-01 5.44964e+01 7.55261e+06
8.60911e-01 5.44631e+01 7.55261e+06
8.57481e-01 5.44302e+01 7.55261e+06
8.54069e-01 5.43973e+01 7.55261e+06
8.50674e-01 5.43646e+01 7.55261e+06
8.47297e-01 5.43318e+01 7.55261e+06
8.43940e-01 5.42991e+01 7.55261e+06
8.40598e-01 5.42667e+01 7.55261e+06
8.37270e-01 5.42340e+01 7.55261e+06
8.33951e-01 5.42015e+01 7.55261e+06
8.30650e-01 5.41693e+01 7.55261e+06
8.27379e-01 5.41375e+01 7.55261e+06
8.24128e-01 5.41057e+01 7.55261e+06
8.20895e-01 5.40739e+01 7.55261e+06
8.17677e-01 5.40422e+01 7.55261e+06
8.14475e-01 5.40107e+01 7.55261e+06
8.11292e-01 5.39794e+01 7.55261e+06
8.08130e-01 5.39479e+01 7.55261e+06
8.04985e-01 5.39167e+01 7.55261e+06
8.01853e-01 5.38856e+01 7.55261e+06
7.98731e-01 5.38543e+01 7.55261e+06
7.95627e-01 5.38233e+01 7.55261e+06
7.92541e-01 5.37924e+01 7.55261e+06
7.89462e-01 5.37617e+01 7.55261e+06
7.86402e-01 5.37312e+01 7.55261e+06
7.83375e-01 5.37009e+01 7.55261e+06
7.80370e-01 5.36708e+01 7.55261e+06
7.77386e-01 5.36404e+01 7.55261e+06
7.74421e-01 5.36101e+01 7.55261e+06
7.71468e-01 5.35798e+01 7.55261e+06
7.68546e-01 5.35499e+01 7.55261e+06
7.65650e-01 5.35205e+01 7.55261e+06
7.62784e-01 5.34910e+01 7.55261e+06
7.59929e-01 5.34614e+01 7.55261e+06
7.57086e-01 5.34323e+01 7.55261e+06
7.54254e-01 5.34032e+01 7.55261e+06
7.51444e-01 5.33744e+01 7.55261e+06
7.48647e-01 5.33458e+01 7.55261e+06
7.45862e-01 5.33171e+01 7.55261e+06
7.43088e-01 5.32884e+01 7.55261e+06
7.40325e-01 5.32599e+01 7.55261e+06
7.37589e-01 5.32318e+01 7.55261e+06
7.34879e-01 5.32038e+01 7.55261e+06
7.32186e-01 5.31759e+01 7.55261e+06
7.29514e-01 5.31482e+01 7.55261e+06
7.26869e-01 5.31207e+01 7.55261e+06
7.24235e-01 5.30931e+01 7.55261e+06
7.21610e-01 5.30656e+01 7.55261e+06
7.19006e-01 5.30382e+01 7.55261e+06
7.16419e-01 5.30107e+01 7.55261e+06
7.13840e-01 5.29832e+01 7.55261e+06
7.11268e-01 5.29558e+01 7.55261e+06
7.08705e-01 5.29283e+01 7.55261e+06
7.06151e-01 5.29008e+01 7.55261e+06
7.03613e-01 5.28736e+01 7.55261e+06
7.01099e-01 5.28466e+01 7.55261e+06
6.98605e-01 5.28196e+01 7.55261e+06
6.96124e-01 5.27923e+01 7.55261e+06
6.93656e-01 5.27653e+01 7.55261e+06
6.91199e-01 5.27384e+01 7.55261e+06
6.88752e-01 5.27116e+01 7.55261e+06
6.86316e-01 5.26848e+01 7.55261e+06
6.83903e-01 5.26580e+01 7.55261e+06
6.81501e-01 5.26314e+01 7.55261e+06
6.79111e-01 5.26050e+01 7.55261e+06
6.76732e-01 5.25785e+01 7.55261e+06
6.74359e-01 5.25520e+01 7.55261e+06
6.71991e-01 5.25254e+01 7.55261e+06
6.69630e-01 5.24987e+01 7.55261e+06
6.67279e-01 5.24722e+01 7.55261e+06
6.64941e-01 5.24456e+01 7.55261e+06
6.62616e-01 5.24191e+01 7.55261e+06
6.60308e-01 5.23925e+01 7.55261e+06
6.58010e-01 5.23662e+01 7.55261e+06
6.55723e-01 5.23398e+01 7.55261e+06
6.53442e-01 5.23136e+01 7.55261e+06
6.51172e-01 5.22874e+01 7.55261e+06
6.48905e-01 5.22613e+01 7.55261e+06
6.46645e-01 5.22350e+01 7.55261e+06
6.44390e-01 5.22088e+01 7.55261e+06
6.42148e-01 5.21828e+01 7.55261e+06
6.39918e-01 5.21568e+01 7.55261e+06
6.37694e-01 5.21307e+01 7.55261e+06
6.35479e-01 5.21046e+01 7.55261e+06
6.33279e-01 5.20785e+01 7.55261e+06
6.31087e-01 5.20525e+01 7.55261e+06
6.28903e-01 5.20267e+01 7.55261e+06
6.26731e-01 5.20010e+01 7.55261e+06
6.24578e-01 5.19754e+01 7.55261e+06
6.22440e-01 5.19499e+01 7.55261e+06
6.20313e-01 5.19243e+01 7.55261e+06
6.18191e-01 5.18991e+01 7.55261e+06
6.16084e-01 5.18738e+01 7.55261e+06
6.13983e-01 5.18487e+01 7.55261e+06
6.11890e-01 5.18236e+01 7.55261e+06
6.09802e-01 5.17986e+01 7.55261e+06
6.07716e-01 5.17736e+01 7.55261e+06
6.05639e-01 5.17486e+01 7.55261e+06
6.03575e-01 5.17238e+01 7.55261e+06
6.01523e-01 5.16991e+01 7.55261e+06
5.99484e-01 5.16746e+01 7.55261e+06
5.97453e-01 5.16502e+01 7.55261e+06
5.95430e-01 5.16259e+01 7.55261e+06
5.93416e-01 5.16017e+01 7.55261e+06
5.91410e-01 5.15776e+01 7.55261e+06
5.89412e-01 5.15537e+01 7.55261e+06
5.87423e-01 5.15296e+01 7.55261e+06
5.85441e-01 5.15056e+01 7.55261e+06
5.83465e-01 5.14817e+01 7.55261e+06
5.81497e-01 5.14577e+01 7.55261e+06
5.79535e-01 5.14337e+01 7.55261e+06
5.77582e-01 5.14096e+01 7.55261e+06
5.75641e-01 5.13857e+01 7.55261e+06
5.73713e-01 5.13619e+01 7.55261e+06
5.71794e-01 5.13383e+01 7.55261e+06
5.69886e-01 5.13147e+01 7.55261e+06
5.67983e-01 5.12911e+01 7.55261e+06
5.66086e-01 5.12674e+01 7.55261e+06
5.64192e-01 5.12436e+01 7.55261e+06
5.62301e-01 5.12199e+01 7.55261e+06
5.60415e-01 5.11962e+01 7.55261e+06
5.58532e-01 5.11725e+01 7.55261e+06
5.56655e-01 5.11487e+01 7.55261e+06
5.54784e-01 5.11249e+01 7.55261e+06
5.52921e-01 5.11009e+01 7.55261e+06
5.51063e-01 5.10771e+01 7.55261e+06
5.49215e-01 5.10534e+01 7.55261e+06
5.47376e-01 5.10297e+01 7.55261e+06
5.45540e-01 5.10059e+01 7.55261e+06
5.43711e-01 5.09823e+01 7.55261e+06
5.41894e-01 5.09586e+01 7.55261e+06
5.40082e-01 5.09350e+01 7.55261e+06
5.38275e-01 5.09114e+01 7.55261e+06
5.36477e-01 5.08877e+01 7.55261e+06
5.34684e-01 5.08641e+01 7.55261e+06
5.32904e-01 5.08406e+01 7.55261e+06
5.31136e-01 5.08171e+01 7.55261e+06
5.29379e-01 5.07936e+01 7.55261e+06
5.27633e-01 5.07702e+01 7.55261e+06
5.25896e-01 5.07471e+01 7.55261e+06
5.24171e-01 5.07240e+01 7.55261e+06
5.22455e-01 5.07008e+01 7.55261e+06
5.20752e-01 5.06777e+01 7.55261e+06
5.19057e-01 5.06547e+01 7.55261e+06
5.17370e-01 5.06318e+01 7.55261e+06
5.15686e-01 5.06088e+01 7.55261e+06
5.14007e-01 5.05858e+01 7.55261e+06
5.12333e-01 5.05629e+01 7.55261e+06
5.10661e-01 5.05399e+01 7.55261e+06
5.08995e-01 5.05171e+01 7.55261e+06
5.07335e-01 5.04942e+01 7.55261e+06
5.05682e-01 5.04713e+01 7.55261e+06
