# Chi2 Rg SupportVolume
1.43688e+05 1.01702e+02 9.00930e+06
1.05981e+01 1.05122e+02 9.00930e+06
1.04354e+01 1.07209e+02 9.00930e+06
1.02757e+01 1.08654e+02 9.00930e+06
1.01189e+01 1.09660e+02 9.00930e+06
9.96612e+00 1.10465e+02 9.00930e+06
9.81824e+00 1.11070e+02 9.00930e+06
9.67489e+00 1.11514e+02 9.00930e+06
9.53517e+00 1.11835e+02 9.00930e+06
9.39917e+00 1.12083e+02 9.00930e+06
9.26705e+00 1.12261e+02 9.00930e+06
9.13882e+00 1.12403e+02 9.00930e+06
9.01438e+00 1.12503e+02 9.00930e+06
8.89354e+00 1.12569e+02 9.00930e+06
8.77575e+00 1.12619e+02 9.00930e+06
8.66150e+00 1.12662e+02 9.00930e+06
8.55007e+00 1.12698e+02 9.00930e+06
8.44234e+00 1.12723e+02 9.00930e+06
8.33785e+00 1.12743e+02 9.00930e+06
8.23567e+00 1.12762e+02 9.00930e+06
8.13607e+00 1.12785e+02 9.00930e+06
8.03925e+00 1.12806e+02 9.00930e+06
7.94490e+00 1.12825e+02 9.00930e+06
7.85316e+00 1.12845e+02 9.00930e+06
7.76383e+00 1.12865e+02 9.00930e+06
7.67644e+00 1.12886e+02 9.00930e+06
7.59089e+00 1.12906e+02 9.00930e+06
7.50725e+00 1.12929e+02 9.00930e+06
7.42564e+00 1.12954e+02 9.00930e+06
7.34594e+00 1.12981e+02 9.00930e+06
7.26787e+00 1.13009e+02 9.00930e+06
7.19178e+00 1.13037e+02 9.00930e+06
7.11765e+00 1.13064e+02 9.00930e+06
7.04505e+00 1.13094e+02 9.00930e+06
6.97436e+00 1.13123e+02 9.00930e+06
6.90548e+00 1.13151e+02 9.00930e+06
6.83832e+00 1.13180e+02 9.00930e+06
6.77276e+00 1.13210e+02 9.00930e+06
6.70852e+00 1.13240e+02 9.00930e+06
6.64550e+00 1.13269e+02 9.00930e+06
6.58370e+00 1.13297e+02 9.00930e+06
6.52338e+00 1.13324e+02 9.00930e+06
6.46393e+00 1.13351e+02 9.00930e+06
6.40539e+00 1.13378e+02 9.00930e+06
6.34790e+00 1.13406e+02 9.00930e+06
6.29134e+00 1.13434e+02 9.00930e+06
6.23604e+00 1.13461e+02 9.00930e+06
6.18190e+00 1.13488e+02 9.00930e+06
6.12872e+00 1.13515e+02 9.00930e+06
6.07654e+00 1.13539e+02 9.00930e+06
6.02529e+00 1.13564e+02 9.00930e+06
5.97491e+00 1.13588e+02 9.00930e+06
5.92531e+00 1.13611e+02 9.00930e+06
5.87654e+00 1.13634e+02 9.00930e+06
5.82850e+00 1.13656e+02 9.00930e+06
5.78113e+00 1.13678e+02 9.00930e+06
5.73440e+00 1.13700e+02 9.00930e+06
5.68855e+00 1.13721e+02 9.00930e+06
5.64353e+00 1.13740e+02 9.00930e+06
5.59918e+00 1.13758e+02 9.00930e+06
5.55539e+00 1.13776e+02 9.00930e+06
5.51221e+00 1.13793e+02 9.00930e+06
5.46964e+00 1.13809e+02 9.00930e+06
5.42770e+00 1.13824e+02 9.00930e+06
5.38627e+00 1.13838e+02 9.00930e+06
5.34538e+00 1.13852e+02 9.00930e+06
5.30503e+00 1.13865e+02 9.00930e+06
5.26512e+00 1.13877e+02 9.00930e+06
5.22572e+00 1.13888e+02 9.00930e+06
5.18681e+00 1.13898e+02 9.00930e+06
5.14827e+00 1.13907e+02 9.00930e+06
5.11011e+00 1.13916e+02 9.00930e+06
5.07253e+00 1.13926e+02 9.00930e+06
5.03560e+00 1.13935e+02 9.00930e+06
4.99924e+00 1.13943e+02 9.00930e+06
4.96333e+00 1.13950e+02 9.00930e+06
4.92785e+00 1.13958e+02 9.00930e+06
4.89293e+00 1.13965e+02 9.00930e+06
4.85846e+00 1.13972e+02 9.00930e+06
4.82439e+00 1.13978e+02 9.00930e+06
4.79058e+00 1.13984e+02 9.00930e+06
4.75725e+00 1.13988e+02 9.00930e+06
4.72428e+00 1.13992e+02 9.00930e+06
4.69167e+00 1.13995e+02 9.00930e+06
4.65951e+00 1.13998e+02 9.00930e+06
4.62769e+00 1.13999e+02 9.00930e+06
4.59624e+00 1.14000e+02 9.00930e+06
4.56518e+00 1.13999e+02 9.00930e+06
4.53450e+00 1.13999e+02 9.00930e+06
4.50429e+00 1.13998e+02 9.00930e+06
4.47454e+00 1.13997e+02 9.00930e+06
4.44513e+00 1.13996e+02 9.00930e+06
4.41604e+00 1.13994e+02 9.00930e+06
4.38743e+00 1.13992e+02 9.00930e+06
4.35919e+00 1.13990e+02 9.00930e+06
4.33134e+00 1.13988e+02 9.00930e+06
4.30382e+00 1.13986e+02 9.00930e+06
4.27662e+00 1.13982e+02 9.00930e+06
4.24969e+00 1.13979e+02 9.00930e+06
4.22302e+00 1.13975e+02 9.00930e+06
4.19667e+00 1.13970e+02 9.00930e+06
4.17055e+00 1.13966e+02 9.00930e+06
4.14468e+00 1.13961e+02 9.00930e+06
4.11903e+00 1.13956e+02 9.00930e+06
4.09360e+00 1.13950e+02 9.00930e+06
4.06843e+00 1.13944e+02 9.00930e+06
4.04344e+00 1.13938e+02 9.00930e+06
4.01863e+00 1.13931e+02 9.00930e+06
3.99397e+00 1.13923e+02 9.00930e+06
3.96945e+00 1.13915e+02 9.00930e+06
3.94520e+00 1.13906e+02 9.00930e+06
3.92115e+00 1.13897e+02 9.00930e+06
3.89733e+00 1.13888e+02 9.00930e+06
