#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
0.164869 0.024991 0.0205141
0.16568 0.0527408 0.0204255
0.166492 0.012769 0.0195805
0.167303 0.0702766 0.020529
0.168114 0.0467827 0.0207788
0.168926 0.0355131 0.0209321
0.169737 0.0644232 0.0203646
0.170549 0.0800627 0.0209823
0.17136 0.0793866 0.0211245
0.172171 0.0554688 0.0211111
0.172983 0.000761 0.0205906
0.173794 0.0415366 0.0204438
0.174605 0.0622712 0.0209623
0.175417 0.0502177 0.020699
0.176228 0.0321988 0.0214289
0.17704 0.0696979 0.0215464
0.177851 0.016191 0.0209332
0.178662 0.0817061 0.0220395
0.179474 0.026281 0.0210233
0.180285 0.0240786 0.0215239
0.181096 0.0279933 0.0208166
0.181908 0.0281809 0.0212695
0.182719 0.0070629 0.0213217
0.183531 0.0649176 0.0214339
0.184342 0.0679627 0.0205484
0.185153 0.0526629 0.0207998
0.185965 0.0449148 0.0212022
0.186776 0.0284623 0.0212892
0.187587 0.00740647 0.0204335
0.188399 0.0324559 0.0217868
0.18921 0.0401353 0.0214745
0.190022 0.0444134 0.0214356
0.190833 0.0217911 0.0213813
0.191644 0.0416983 0.0218372
0.192456 0.00358942 0.0220975
0.193267 0.0439139 0.0221654
0.194078 0.0651581 0.0211587
0.19489 0.0729111 0.0210752
0.195701 0.0372565 0.0213184
0.196513 0.0682981 0.021201
0.197324 0.0424175 0.0218723
0.198135 0.0673816 0.0219353
0.198947 0.0404822 0.0218783
0.199758 0.00338505 0.0215737
0.200569 0.0496594 0.0216816
0.201381 0.0430422 0.0215201
0.202192 0.0379913 0.0213085
0.203004 0.0424699 0.0218528
0.203815 0.0148481 0.0215194
0.204626 0.0537229 0.021306
0.205438 0.0234895 0.0210723
0.206249 0.0253776 0.0216058
0.20706 0.00213638 0.0214406
0.207872 0.00927598 0.021115
0.208683 0.0644212 0.0213278
0.209494 0.0440918 0.0214231
0.210306 0.0216027 0.0216976
0.211117 0.0247156 0.0217381
0.211929 0.0050673 0.0215042
0.21274 0.0382711 0.0213561
0.213551 0.0527584 0.0221914
0.214363 0.0540472 0.0218829
0.215174 0.0190345 0.0221874
0.215985 0.0459922 0.0221182
0.216797 0.00477554 0.0213004
0.217608 0.0388422 0.0212088
0.21842 0.053173 0.0215807
0.219231 0.0608838 0.0214776
0.220042 0.0335398 0.0218805
0.220854 0.027904 0.0219127
0.221665 -0.00658187 0.0223822
0.222476 0.0212896 0.0213364
0.223288 0.0520132 0.0210958
0.224099 0.0557417 0.0208008
0.224911 0.0366905 0.0215551
0.225722 -0.0135434 0.0211222
0.226533 -0.0161882 0.0214011
0.227345 0.00259019 0.0215646
0.228156 -0.0153161 0.0219436
0.228967 0.0312829 0.0214398
0.229779 -0.0133534 0.0211321
0.23059 0.0411918 0.022195
0.231402 -0.0119709 0.0216175
0.232213 0.0426917 0.0214795
0.233024 0.0038313 0.0209948
0.233836 0.0149683 0.0210055
0.234647 0.00885604 0.0218095
0.235458 0.0136775 0.0210935
0.23627 0.0465955 0.0211051
0.237081 0.00916664 0.0220862
0.237893 0.0195248 0.0214096
0.238704 0.0204746 0.0218392
0.239515 0.0320253 0.0215186
0.240327 0.0231241 0.0215647
0.241138 0.0298484 0.0212583
0.241949 0.0314124 0.0211158
0.242761 0.0138915 0.0213789
0.243572 0.0403997 0.0214328
0.244384 0.00390814 0.021005
0.245195 0.0231916 0.0218967
0.246006 0.0110412 0.0221743
0.246818 0.0298125 0.0222517
0.247629 0.0483739 0.0217703
0.24844 -0.00509938 0.0207447
0.249252 0.0503418 0.021372
0.250063 -0.00661994 0.0213881
0.250875 0.018825 0.0216914
0.251686 0.0398173 0.0212007
0.252497 0.0402041 0.0210857
0.253309 0.0461261 0.0217723
0.25412 0.0257812 0.0209795
0.254931 0.0492655 0.0219471
0.255743 0.0467886 0.0212546
0.256554 0.0467255 0.0215211
0.257366 0.0361781 0.0213634
0.258177 0.0402773 0.0211378
0.258988 0.0458463 0.0210937
0.2598 0.0192225 0.0206498
0.260611 0.0250572 0.0216058
0.261422 -0.00878611 0.0213044
0.262234 0.00564419 0.0216099
0.263045 0.0379058 0.0218468
0.263857 0.0169136 0.0213407
0.264668 0.0569727 0.0211115
0.265479 0.0370454 0.0211841
0.266291 0.0479273 0.0207164
0.267102 0.0435705 0.0219232
0.267913 0.0316164 0.021411
0.268725 0.0197442 0.0211797
0.269536 0.0375732 0.0205078
0.270347 0.0159652 0.0217831
0.271159 0.0273137 0.0205852
0.27197 0.0601447 0.0210391
0.272782 0.00769357 0.0212818
0.273593 0.0327697 0.0215652
0.274404 0.0137232 0.0216684
0.275216 0.0315408 0.0213675
0.276027 0.0271073 0.0213801
0.276838 0.0218583 0.0215726
0.27765 -0.00583798 0.0211341
0.278461 0.047487 0.0213368
0.279273 0.0407639 0.0211675
0.280084 0.017283 0.0206232
0.280895 -0.0183506 0.0207432
0.281707 0.00647215 0.0213907
0.282518 0.0181277 0.0217258
0.283329 -0.0503189 0.0222577
0.284141 0.000359705 0.0212616
0.284952 -0.0273025 0.0214873
0.285764 0.0336866 0.0215392
0.286575 0.0262633 0.0215148
0.287386 0.0348581 0.0218429
0.288198 0.0371695 0.0222765
0.289009 0.0386873 0.0220447
0.28982 0.0434236 0.0209804
0.290632 0.0175606 0.0206031
0.291443 0.0193274 0.0215188
0.292255 0.0242906 0.0215228
0.293066 0.0470023 0.0207981
0.293877 -0.00780858 0.0214908
0.294689 0.0300927 0.0218641
0.2955 0.00359032 0.020767
0.296311 0.0425498 0.0213699
0.297123 0.0173279 0.0219793
0.297934 0.0337982 0.0213134
0.298746 -0.0115005 0.0211879
0.299557 0.00746159 0.0210183
0.300368 0.0075232 0.0213432
0.30118 0.0084891 0.0209078
0.301991 -0.00645666 0.0196076
0.302802 0.0177865 0.02118
0.303614 0.0303745 0.0212604
0.304425 0.0458531 0.0205921
0.305237 -0.00512488 0.0204885
0.306048 -0.0151947 0.0213001
0.306859 0.0403996 0.0210083
0.307671 -0.00338328 0.021293
0.308482 0.0303521 0.0208445
0.309293 -0.0109056 0.0206004
0.310105 0.0109449 0.0207677
0.310916 0.014758 0.021453
0.311728 0.0111769 0.0209782
0.312539 -0.0141491 0.0210543
0.31335 0.0515141 0.0204745
0.314162 0.0312691 0.0221103
0.314973 0.0512983 0.0205348
0.315784 -0.00562834 0.0201887
0.316596 -0.00525479 0.0209482
0.317407 0.0148366 0.020916
0.318219 0.0433384 0.0210626
0.31903 0.0141514 0.02078
0.319841 -0.0160875 0.0209835
0.320653 0.0148395 0.020521
0.321464 0.024521 0.0208565
0.322275 -0.0173043 0.020591
0.323087 -0.019694 0.020921
0.323898 0.000955494 0.020611
0.324709 0.0101567 0.0209991
0.325521 -0.0171823 0.0206529
0.326332 0.00766314 0.0210579
0.327144 -0.0111747 0.0208764
0.327955 0.0444252 0.0207716
0.328766 0.054229 0.0211298
0.329578 -0.00229365 0.0201726
0.330389 0.0296607 0.0208858
0.3312 0.00622751 0.0212568
0.332012 0.0301266 0.0199368
0.332823 -0.0153446 0.020357
0.333635 0.00145802 0.0204876
