"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,0,"A1",21,3,1.98655815102658
-56.2,-0.1364,2,0.2,200,1,"A2",21,3,2.05967220036495
-56.2,-0.1364,2,0.2,200,10,"A3",21,3,1.82081453022509
-56.2,-0.1364,2,0.2,200,50,"A4",21,3,1.48623677779044
-56.2,-0.1364,2,0.2,200,100,"A5",21,3,1.02499453269853
-56.2,-0.1364,2,0.2,200,150,"A6",21,3,0.635508343250928
-56.2,-0.1364,2,0.2,200,200,"A7",21,3,0.215864363822001
-56.2,-0.1364,2,0.2,200,250,"A8",21,3,0.333721738143777
-56.2,-0.1364,2,0.2,200,400,"A9",21,3,0.191315834082323
-56.2,-0.1364,2,0.2,200,600,"A10",21,3,0.246998368003791
-56.2,-0.1364,2,0.2,200,800,"A11",21,3,0.256907430681482
-56.2,-0.1364,2,0.2,200,1000,"A12",21,3,0.218022981188498
-56.2,-0.1364,2,0.2,200,0,"B1",21,3,1.9401659298944
-56.2,-0.1364,2,0.2,200,1,"B2",21,3,1.98349890941219
-56.2,-0.1364,2,0.2,200,10,"B3",21,3,1.8769746729383
-56.2,-0.1364,2,0.2,200,50,"B4",21,3,1.54874524735493
-56.2,-0.1364,2,0.2,200,100,"B5",21,3,1.05889071116844
-56.2,-0.1364,2,0.2,200,150,"B6",21,3,0.628192144426381
-56.2,-0.1364,2,0.2,200,200,"B7",21,3,0.209611089823371
-56.2,-0.1364,2,0.2,200,250,"B8",21,3,0.194367568164149
-56.2,-0.1364,2,0.2,200,400,"B9",21,3,0.224938498307811
-56.2,-0.1364,2,0.2,200,600,"B10",21,3,0.142526929930821
-56.2,-0.1364,2,0.2,200,800,"B11",21,3,0.251723622276528
-56.2,-0.1364,2,0.2,200,1000,"B12",21,3,0.316137413832805
-56.2,-0.1364,2,0.2,200,0,"B1",21,3,1.92805340428918
-56.2,-0.1364,2,0.2,200,1,"B2",21,3,2.00241763692399
-56.2,-0.1364,2,0.2,200,10,"B3",21,3,1.95831501755031
-56.2,-0.1364,2,0.2,200,50,"B4",21,3,1.48990577835885
-56.2,-0.1364,2,0.2,200,100,"B5",21,3,1.10484437284269
-56.2,-0.1364,2,0.2,200,150,"B6",21,3,0.703531765261071
-56.2,-0.1364,2,0.2,200,200,"B7",21,3,0.251058746579241
-56.2,-0.1364,2,0.2,200,250,"B8",21,3,0.212484298429068
-56.2,-0.1364,2,0.2,200,400,"B9",21,3,0.174731890551932
-56.2,-0.1364,2,0.2,200,600,"B10",21,3,0.211620533851236
-56.2,-0.1364,2,0.2,200,800,"B11",21,3,0.203402160852783
-56.2,-0.1364,2,0.2,200,1000,"B12",21,3,0.241694016388548
-56.2,-0.1364,2,0.2,200,0,"A1",21.5,4,1.92017020276358
-56.2,-0.1364,2,0.2,200,1,"A2",21.5,4,2.03899996311346
-56.2,-0.1364,2,0.2,200,10,"A3",21.5,4,1.9320545611635
-56.2,-0.1364,2,0.2,200,50,"A4",21.5,4,1.62133135646764
-56.2,-0.1364,2,0.2,200,100,"A5",21.5,4,1.11862073217781
-56.2,-0.1364,2,0.2,200,150,"A6",21.5,4,0.706292692454036
-56.2,-0.1364,2,0.2,200,200,"A7",21.5,4,0.31111322508216
-56.2,-0.1364,2,0.2,200,250,"A8",21.5,4,0.184136973308656
-56.2,-0.1364,2,0.2,200,400,"A9",21.5,4,0.187521746401855
-56.2,-0.1364,2,0.2,200,600,"A10",21.5,4,0.220980157095256
-56.2,-0.1364,2,0.2,200,800,"A11",21.5,4,0.147591714244648
-56.2,-0.1364,2,0.2,200,1000,"A12",21.5,4,0.198777496390178
-56.2,-0.1364,2,0.2,200,0,"B1",21.5,4,1.93268555077421
-56.2,-0.1364,2,0.2,200,1,"B2",21.5,4,1.99965403065046
-56.2,-0.1364,2,0.2,200,10,"B3",21.5,4,2.02076079008442
-56.2,-0.1364,2,0.2,200,50,"B4",21.5,4,1.54495132796448
-56.2,-0.1364,2,0.2,200,100,"B5",21.5,4,1.14295031447224
-56.2,-0.1364,2,0.2,200,150,"B6",21.5,4,0.70639935440532
-56.2,-0.1364,2,0.2,200,200,"B7",21.5,4,0.22189137032776
-56.2,-0.1364,2,0.2,200,250,"B8",21.5,4,0.218348435471442
-56.2,-0.1364,2,0.2,200,400,"B9",21.5,4,0.17823596033949
-56.2,-0.1364,2,0.2,200,600,"B10",21.5,4,0.18181912183643
