# Chi2 Rg SupportVolume
1.24378e+05 1.47242e+02 1.49415e+07
9.26462e+00 1.47189e+02 1.49415e+07
9.21610e+00 1.45944e+02 1.49415e+07
9.16949e+00 1.44836e+02 1.49415e+07
9.12327e+00 1.43745e+02 1.49415e+07
9.07756e+00 1.42553e+02 1.49415e+07
9.03201e+00 1.41334e+02 1.49415e+07
8.98648e+00 1.40150e+02 1.49415e+07
8.94125e+00 1.39014e+02 1.49415e+07
8.89629e+00 1.37908e+02 1.49415e+07
8.85180e+00 1.36817e+02 1.49415e+07
8.80781e+00 1.35813e+02 1.49415e+07
8.76406e+00 1.34911e+02 1.49415e+07
8.72055e+00 1.34058e+02 1.49415e+07
8.67741e+00 1.33258e+02 1.49415e+07
8.63479e+00 1.32516e+02 1.49415e+07
8.59267e+00 1.31834e+02 1.49415e+07
8.55085e+00 1.31176e+02 1.49415e+07
8.50952e+00 1.30545e+02 1.49415e+07
8.46876e+00 1.29963e+02 1.49415e+07
8.42859e+00 1.29423e+02 1.49415e+07
8.38879e+00 1.28912e+02 1.49415e+07
8.34931e+00 1.28428e+02 1.49415e+07
8.31022e+00 1.27949e+02 1.49415e+07
8.27146e+00 1.27482e+02 1.49415e+07
8.23328e+00 1.27038e+02 1.49415e+07
8.19563e+00 1.26609e+02 1.49415e+07
8.15847e+00 1.26203e+02 1.49415e+07
8.12158e+00 1.25819e+02 1.49415e+07
8.08497e+00 1.25456e+02 1.49415e+07
8.04878e+00 1.25113e+02 1.49415e+07
8.01296e+00 1.24795e+02 1.49415e+07
7.97751e+00 1.24497e+02 1.49415e+07
7.94239e+00 1.24214e+02 1.49415e+07
7.90762e+00 1.23942e+02 1.49415e+07
7.87316e+00 1.23679e+02 1.49415e+07
7.83891e+00 1.23432e+02 1.49415e+07
7.80496e+00 1.23198e+02 1.49415e+07
7.77125e+00 1.22983e+02 1.49415e+07
7.73774e+00 1.22780e+02 1.49415e+07
7.70440e+00 1.22587e+02 1.49415e+07
7.67133e+00 1.22400e+02 1.49415e+07
7.63856e+00 1.22223e+02 1.49415e+07
7.60597e+00 1.22051e+02 1.49415e+07
7.57361e+00 1.21880e+02 1.49415e+07
7.54164e+00 1.21718e+02 1.49415e+07
7.50990e+00 1.21559e+02 1.49415e+07
7.47846e+00 1.21404e+02 1.49415e+07
7.44739e+00 1.21255e+02 1.49415e+07
7.41662e+00 1.21115e+02 1.49415e+07
7.38622e+00 1.20981e+02 1.49415e+07
7.35620e+00 1.20853e+02 1.49415e+07
7.32658e+00 1.20731e+02 1.49415e+07
7.29725e+00 1.20618e+02 1.49415e+07
7.26828e+00 1.20506e+02 1.49415e+07
7.23968e+00 1.20398e+02 1.49415e+07
7.21130e+00 1.20295e+02 1.49415e+07
7.18313e+00 1.20196e+02 1.49415e+07
7.15522e+00 1.20100e+02 1.49415e+07
7.12759e+00 1.20006e+02 1.49415e+07
7.10014e+00 1.19913e+02 1.49415e+07
7.07283e+00 1.19824e+02 1.49415e+07
7.04573e+00 1.19736e+02 1.49415e+07
7.01893e+00 1.19653e+02 1.49415e+07
6.99252e+00 1.19573e+02 1.49415e+07
6.96636e+00 1.19494e+02 1.49415e+07
6.94041e+00 1.19415e+02 1.49415e+07
6.91471e+00 1.19337e+02 1.49415e+07
6.88914e+00 1.19263e+02 1.49415e+07
6.86378e+00 1.19192e+02 1.49415e+07
6.83872e+00 1.19124e+02 1.49415e+07
6.81386e+00 1.19058e+02 1.49415e+07
6.78908e+00 1.18992e+02 1.49415e+07
6.76446e+00 1.18928e+02 1.49415e+07
6.74002e+00 1.18865e+02 1.49415e+07
6.71576e+00 1.18802e+02 1.49415e+07
6.69176e+00 1.18740e+02 1.49415e+07
6.66795e+00 1.18679e+02 1.49415e+07
6.64440e+00 1.18620e+02 1.49415e+07
6.62103e+00 1.18564e+02 1.49415e+07
6.59783e+00 1.18509e+02 1.49415e+07
6.57488e+00 1.18457e+02 1.49415e+07
6.55225e+00 1.18409e+02 1.49415e+07
6.52981e+00 1.18362e+02 1.49415e+07
6.50755e+00 1.18314e+02 1.49415e+07
6.48547e+00 1.18267e+02 1.49415e+07
6.46367e+00 1.18223e+02 1.49415e+07
6.44205e+00 1.18181e+02 1.49415e+07
6.42053e+00 1.18141e+02 1.49415e+07
6.39913e+00 1.18101e+02 1.49415e+07
6.37792e+00 1.18064e+02 1.49415e+07
6.35692e+00 1.18029e+02 1.49415e+07
6.33610e+00 1.17995e+02 1.49415e+07
6.31548e+00 1.17962e+02 1.49415e+07
6.29503e+00 1.17930e+02 1.49415e+07
6.27474e+00 1.17898e+02 1.49415e+07
6.25462e+00 1.17868e+02 1.49415e+07
6.23480e+00 1.17840e+02 1.49415e+07
6.21515e+00 1.17814e+02 1.49415e+07
6.19569e+00 1.17788e+02 1.49415e+07
6.17636e+00 1.17764e+02 1.49415e+07
6.15719e+00 1.17741e+02 1.49415e+07
6.13813e+00 1.17719e+02 1.49415e+07
6.11928e+00 1.17699e+02 1.49415e+07
6.10065e+00 1.17680e+02 1.49415e+07
6.08217e+00 1.17662e+02 1.49415e+07
6.06383e+00 1.17646e+02 1.49415e+07
6.04558e+00 1.17630e+02 1.49415e+07
6.02750e+00 1.17615e+02 1.49415e+07
6.00956e+00 1.17600e+02 1.49415e+07
5.99187e+00 1.17584e+02 1.49415e+07
5.97440e+00 1.17569e+02 1.49415e+07
5.95716e+00 1.17556e+02 1.49415e+07
5.94003e+00 1.17543e+02 1.49415e+07
5.92300e+00 1.17530e+02 1.49415e+07
5.90610e+00 1.17517e+02 1.49415e+07
5.88941e+00 1.17503e+02 1.49415e+07
5.87282e+00 1.17489e+02 1.49415e+07
5.85644e+00 1.17476e+02 1.49415e+07
5.84021e+00 1.17464e+02 1.49415e+07
5.82404e+00 1.17451e+02 1.49415e+07
5.80801e+00 1.17437e+02 1.49415e+07
5.79212e+00 1.17423e+02 1.49415e+07
5.77632e+00 1.17410e+02 1.49415e+07
5.76066e+00 1.17397e+02 1.49415e+07
5.74510e+00 1.17383e+02 1.49415e+07
5.72966e+00 1.17370e+02 1.49415e+07
5.71439e+00 1.17358e+02 1.49415e+07
5.69930e+00 1.17345e+02 1.49415e+07
5.68434e+00 1.17333e+02 1.49415e+07
5.66954e+00 1.17322e+02 1.49415e+07
5.65488e+00 1.17311e+02 1.49415e+07
5.64041e+00 1.17300e+02 1.49415e+07
5.62609e+00 1.17290e+02 1.49415e+07
5.61190e+00 1.17281e+02 1.49415e+07
5.59778e+00 1.17272e+02 1.49415e+07
5.58380e+00 1.17263e+02 1.49415e+07
5.56991e+00 1.17254e+02 1.49415e+07
5.55613e+00 1.17246e+02 1.49415e+07
5.54248e+00 1.17240e+02 1.49415e+07
5.52900e+00 1.17234e+02 1.49415e+07
5.51560e+00 1.17229e+02 1.49415e+07
5.50224e+00 1.17223e+02 1.49415e+07
5.48898e+00 1.17218e+02 1.49415e+07
5.47578e+00 1.17212e+02 1.49415e+07
5.46267e+00 1.17206e+02 1.49415e+07
5.44965e+00 1.17200e+02 1.49415e+07
5.43668e+00 1.17194e+02 1.49415e+07
5.42381e+00 1.17189e+02 1.49415e+07
5.41101e+00 1.17184e+02 1.49415e+07
5.39837e+00 1.17179e+02 1.49415e+07
5.38586e+00 1.17175e+02 1.49415e+07
5.37350e+00 1.17170e+02 1.49415e+07
5.36133e+00 1.17166e+02 1.49415e+07
5.34931e+00 1.17162e+02 1.49415e+07
5.33744e+00 1.17157e+02 1.49415e+07
5.32566e+00 1.17153e+02 1.49415e+07
5.31394e+00 1.17148e+02 1.49415e+07
5.30225e+00 1.17142e+02 1.49415e+07
5.29059e+00 1.17137e+02 1.49415e+07
5.27895e+00 1.17131e+02 1.49415e+07
5.26734e+00 1.17126e+02 1.49415e+07
5.25580e+00 1.17121e+02 1.49415e+07
5.24433e+00 1.17115e+02 1.49415e+07
5.23292e+00 1.17109e+02 1.49415e+07
5.22157e+00 1.17104e+02 1.49415e+07
5.21027e+00 1.17098e+02 1.49415e+07
5.19900e+00 1.17092e+02 1.49415e+07
5.18787e+00 1.17086e+02 1.49415e+07
5.17682e+00 1.17081e+02 1.49415e+07
5.16588e+00 1.17076e+02 1.49415e+07
5.15500e+00 1.17071e+02 1.49415e+07
5.14415e+00 1.17067e+02 1.49415e+07
5.13335e+00 1.17062e+02 1.49415e+07
5.12263e+00 1.17057e+02 1.49415e+07
5.11195e+00 1.17052e+02 1.49415e+07
5.10138e+00 1.17047e+02 1.49415e+07
5.09090e+00 1.17042e+02 1.49415e+07
5.08050e+00 1.17037e+02 1.49415e+07
5.07021e+00 1.17032e+02 1.49415e+07
5.06000e+00 1.17028e+02 1.49415e+07
5.04982e+00 1.17022e+02 1.49415e+07
5.03971e+00 1.17018e+02 1.49415e+07
5.02970e+00 1.17013e+02 1.49415e+07
5.01981e+00 1.17008e+02 1.49415e+07
5.00994e+00 1.17004e+02 1.49415e+07
5.00013e+00 1.16999e+02 1.49415e+07
4.99042e+00 1.16994e+02 1.49415e+07
4.98079e+00 1.16989e+02 1.49415e+07
4.97117e+00 1.16984e+02 1.49415e+07
4.96159e+00 1.16978e+02 1.49415e+07
4.95205e+00 1.16972e+02 1.49415e+07
4.94257e+00 1.16966e+02 1.49415e+07
4.93314e+00 1.16961e+02 1.49415e+07
4.92377e+00 1.16955e+02 1.49415e+07
4.91445e+00 1.16950e+02 1.49415e+07
4.90520e+00 1.16945e+02 1.49415e+07
4.89604e+00 1.16939e+02 1.49415e+07
4.88696e+00 1.16935e+02 1.49415e+07
4.87795e+00 1.16930e+02 1.49415e+07
4.86902e+00 1.16925e+02 1.49415e+07
4.86016e+00 1.16919e+02 1.49415e+07
4.85137e+00 1.16913e+02 1.49415e+07
4.84266e+00 1.16907e+02 1.49415e+07
4.83398e+00 1.16901e+02 1.49415e+07
4.82537e+00 1.16894e+02 1.49415e+07
4.81680e+00 1.16887e+02 1.49415e+07
4.80830e+00 1.16880e+02 1.49415e+07
4.79984e+00 1.16873e+02 1.49415e+07
4.79144e+00 1.16866e+02 1.49415e+07
4.78313e+00 1.16859e+02 1.49415e+07
4.77486e+00 1.16852e+02 1.49415e+07
4.76662e+00 1.16845e+02 1.49415e+07
4.75845e+00 1.16838e+02 1.49415e+07
4.75034e+00 1.16831e+02 1.49415e+07
4.74231e+00 1.16824e+02 1.49415e+07
4.73436e+00 1.16817e+02 1.49415e+07
4.72647e+00 1.16810e+02 1.49415e+07
4.71867e+00 1.16803e+02 1.49415e+07
4.71095e+00 1.16795e+02 1.49415e+07
4.70326e+00 1.16788e+02 1.49415e+07
4.69562e+00 1.16780e+02 1.49415e+07
4.68802e+00 1.16771e+02 1.49415e+07
4.68047e+00 1.16763e+02 1.49415e+07
4.67298e+00 1.16754e+02 1.49415e+07
4.66549e+00 1.16745e+02 1.49415e+07
4.65803e+00 1.16736e+02 1.49415e+07
4.65062e+00 1.16726e+02 1.49415e+07
4.64327e+00 1.16717e+02 1.49415e+07
4.63597e+00 1.16707e+02 1.49415e+07
4.62870e+00 1.16696e+02 1.49415e+07
4.62145e+00 1.16686e+02 1.49415e+07
4.61421e+00 1.16676e+02 1.49415e+07
4.60698e+00 1.16665e+02 1.49415e+07
4.59980e+00 1.16655e+02 1.49415e+07
4.59270e+00 1.16645e+02 1.49415e+07
4.58563e+00 1.16636e+02 1.49415e+07
4.57862e+00 1.16626e+02 1.49415e+07
4.57164e+00 1.16617e+02 1.49415e+07
4.56469e+00 1.16607e+02 1.49415e+07
4.55780e+00 1.16597e+02 1.49415e+07
4.55092e+00 1.16587e+02 1.49415e+07
4.54406e+00 1.16577e+02 1.49415e+07
4.53726e+00 1.16567e+02 1.49415e+07
4.53049e+00 1.16557e+02 1.49415e+07
4.52376e+00 1.16546e+02 1.49415e+07
4.51706e+00 1.16536e+02 1.49415e+07
4.51040e+00 1.16525e+02 1.49415e+07
4.50375e+00 1.16513e+02 1.49415e+07
4.49709e+00 1.16502e+02 1.49415e+07
4.49049e+00 1.16491e+02 1.49415e+07
4.48394e+00 1.16479e+02 1.49415e+07
4.47740e+00 1.16468e+02 1.49415e+07
4.47088e+00 1.16456e+02 1.49415e+07
4.46435e+00 1.16444e+02 1.49415e+07
4.45784e+00 1.16431e+02 1.49415e+07
4.45132e+00 1.16419e+02 1.49415e+07
4.44484e+00 1.16406e+02 1.49415e+07
4.43837e+00 1.16394e+02 1.49415e+07
4.43193e+00 1.16382e+02 1.49415e+07
4.42553e+00 1.16369e+02 1.49415e+07
4.41913e+00 1.16357e+02 1.49415e+07
4.41274e+00 1.16345e+02 1.49415e+07
4.40636e+00 1.16332e+02 1.49415e+07
4.39998e+00 1.16319e+02 1.49415e+07
4.39360e+00 1.16306e+02 1.49415e+07
4.38723e+00 1.16293e+02 1.49415e+07
4.38087e+00 1.16280e+02 1.49415e+07
4.37455e+00 1.16267e+02 1.49415e+07
4.36826e+00 1.16253e+02 1.49415e+07
4.36199e+00 1.16239e+02 1.49415e+07
4.35575e+00 1.16225e+02 1.49415e+07
4.34957e+00 1.16211e+02 1.49415e+07
4.34341e+00 1.16197e+02 1.49415e+07
4.33729e+00 1.16182e+02 1.49415e+07
4.33120e+00 1.16168e+02 1.49415e+07
4.32512e+00 1.16153e+02 1.49415e+07
4.31905e+00 1.16137e+02 1.49415e+07
4.31299e+00 1.16122e+02 1.49415e+07
4.30698e+00 1.16106e+02 1.49415e+07
4.30102e+00 1.16090e+02 1.49415e+07
4.29510e+00 1.16075e+02 1.49415e+07
4.28921e+00 1.16059e+02 1.49415e+07
4.28336e+00 1.16043e+02 1.49415e+07
4.27754e+00 1.16027e+02 1.49415e+07
4.27173e+00 1.16010e+02 1.49415e+07
4.26594e+00 1.15994e+02 1.49415e+07
4.26020e+00 1.15977e+02 1.49415e+07
4.25448e+00 1.15960e+02 1.49415e+07
4.24878e+00 1.15943e+02 1.49415e+07
4.24307e+00 1.15925e+02 1.49415e+07
4.23736e+00 1.15908e+02 1.49415e+07
4.23170e+00 1.15891e+02 1.49415e+07
4.22608e+00 1.15873e+02 1.49415e+07
4.22049e+00 1.15856e+02 1.49415e+07
4.21492e+00 1.15838e+02 1.49415e+07
4.20939e+00 1.15820e+02 1.49415e+07
4.20389e+00 1.15802e+02 1.49415e+07
4.19840e+00 1.15784e+02 1.49415e+07
4.19295e+00 1.15766e+02 1.49415e+07
4.18755e+00 1.15748e+02 1.49415e+07
4.18217e+00 1.15729e+02 1.49415e+07
4.17680e+00 1.15711e+02 1.49415e+07
4.17145e+00 1.15692e+02 1.49415e+07
4.16616e+00 1.15674e+02 1.49415e+07
4.16092e+00 1.15656e+02 1.49415e+07
4.15568e+00 1.15637e+02 1.49415e+07
4.15047e+00 1.15619e+02 1.49415e+07
4.14530e+00 1.15600e+02 1.49415e+07
4.14013e+00 1.15581e+02 1.49415e+07
4.13498e+00 1.15562e+02 1.49415e+07
4.12986e+00 1.15543e+02 1.49415e+07
4.12477e+00 1.15524e+02 1.49415e+07
4.11970e+00 1.15505e+02 1.49415e+07
4.11464e+00 1.15485e+02 1.49415e+07
4.10957e+00 1.15466e+02 1.49415e+07
4.10450e+00 1.15447e+02 1.49415e+07
4.09942e+00 1.15428e+02 1.49415e+07
4.09433e+00 1.15408e+02 1.49415e+07
4.08926e+00 1.15389e+02 1.49415e+07
4.08422e+00 1.15369e+02 1.49415e+07
4.07920e+00 1.15349e+02 1.49415e+07
4.07420e+00 1.15329e+02 1.49415e+07
4.06920e+00 1.15308e+02 1.49415e+07
4.06419e+00 1.15288e+02 1.49415e+07
4.05917e+00 1.15267e+02 1.49415e+07
4.05415e+00 1.15246e+02 1.49415e+07
4.04917e+00 1.15226e+02 1.49415e+07
4.04422e+00 1.15205e+02 1.49415e+07
4.03928e+00 1.15185e+02 1.49415e+07
4.03436e+00 1.15164e+02 1.49415e+07
4.02942e+00 1.15143e+02 1.49415e+07
4.02448e+00 1.15123e+02 1.49415e+07
4.01954e+00 1.15102e+02 1.49415e+07
4.01464e+00 1.15082e+02 1.49415e+07
4.00974e+00 1.15061e+02 1.49415e+07
4.00485e+00 1.15041e+02 1.49415e+07
3.99999e+00 1.15020e+02 1.49415e+07
3.99516e+00 1.14999e+02 1.49415e+07
3.99036e+00 1.14977e+02 1.49415e+07
3.98557e+00 1.14956e+02 1.49415e+07
3.98080e+00 1.14934e+02 1.49415e+07
3.97602e+00 1.14912e+02 1.49415e+07
3.97124e+00 1.14890e+02 1.49415e+07
3.96647e+00 1.14868e+02 1.49415e+07
3.96171e+00 1.14846e+02 1.49415e+07
3.95695e+00 1.14824e+02 1.49415e+07
3.95218e+00 1.14801e+02 1.49415e+07
3.94740e+00 1.14779e+02 1.49415e+07
3.94263e+00 1.14757e+02 1.49415e+07
3.93789e+00 1.14734e+02 1.49415e+07
3.93315e+00 1.14711e+02 1.49415e+07
3.92842e+00 1.14688e+02 1.49415e+07
3.92368e+00 1.14665e+02 1.49415e+07
3.91895e+00 1.14642e+02 1.49415e+07
3.91424e+00 1.14618e+02 1.49415e+07
3.90956e+00 1.14594e+02 1.49415e+07
3.90489e+00 1.14570e+02 1.49415e+07
3.90022e+00 1.14546e+02 1.49415e+07
3.89556e+00 1.14522e+02 1.49415e+07
3.89090e+00 1.14498e+02 1.49415e+07
3.88623e+00 1.14474e+02 1.49415e+07
3.88158e+00 1.14449e+02 1.49415e+07
3.87693e+00 1.14425e+02 1.49415e+07
3.87227e+00 1.14401e+02 1.49415e+07
3.86760e+00 1.14376e+02 1.49415e+07
3.86293e+00 1.14352e+02 1.49415e+07
3.85825e+00 1.14327e+02 1.49415e+07
3.85358e+00 1.14302e+02 1.49415e+07
