"","Estimate","Std..Error","t.value","Pr...t..","Condition"
"I.max...1",185052.12650457,761.708901347011,242.943368755862,0.00000000000000000000000000000000000000000000000000000000000000000220406104174953,"Eco80"
"I.min...2",123.955229036444,997.344758703512,0.124285236328487,0.901696785916052,"Eco80"
"K...3",0.238939012168588,0.00564333614519757,42.3400283132032,0.0000000000000000000000000000000000182610605775433,"Eco80"
"I.max...4",187300.43294248,1449.51878421792,129.215595535409,0.0000000000000000000000000000000000000000000000000000000300847511169605,"NTPCM"
"I.min...5",435.971500314355,1088.31503828672,0.400593104916279,0.690750270504851,"NTPCM"
"K...6",0.258277492155946,0.00958156514208288,26.9556683408199,0.000000000000000000000000000387075511260301,"NTPCM"
"I.max...7",181126.177577042,671.349418430052,269.79419748453,0.00000000000000000000000000000000000000000000000000000000000000000000116803242638877,"WMCM"
"I.min...8",-131.598108060826,531.944792174095,-0.247390537508555,0.805811395806766,"WMCM"
"K...9",0.290883468390193,0.005257885402874,55.323280387814,0.0000000000000000000000000000000000000000711797101594469,"WMCM"
