"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,230,0,"A1",21,3,2.03156510671363
-56.2,-0.1364,2,0.2,230,1,"A2",21,3,1.97482685942163
-56.2,-0.1364,2,0.2,230,10,"A3",21,3,2.00269912024323
-56.2,-0.1364,2,0.2,230,50,"A4",21,3,1.60494668160842
-56.2,-0.1364,2,0.2,230,100,"A5",21,3,1.20892947353109
-56.2,-0.1364,2,0.2,230,150,"A6",21,3,0.838186073701815
-56.2,-0.1364,2,0.2,230,200,"A7",21,3,0.425107799892942
-56.2,-0.1364,2,0.2,230,250,"A8",21,3,0.199161162530146
-56.2,-0.1364,2,0.2,230,400,"A9",21,3,0.223052784681181
-56.2,-0.1364,2,0.2,230,600,"A10",21,3,0.22189926493394
-56.2,-0.1364,2,0.2,230,800,"A11",21,3,0.259446053543952
-56.2,-0.1364,2,0.2,230,1000,"A12",21,3,0.157250938953986
-56.2,-0.1364,2,0.2,230,0,"B1",21,3,1.98219247859011
-56.2,-0.1364,2,0.2,230,1,"B2",21,3,1.85299103603891
-56.2,-0.1364,2,0.2,230,10,"B3",21,3,1.9615172360891
-56.2,-0.1364,2,0.2,230,50,"B4",21,3,1.62567830860736
-56.2,-0.1364,2,0.2,230,100,"B5",21,3,1.28759652197345
-56.2,-0.1364,2,0.2,230,150,"B6",21,3,0.856230573978447
-56.2,-0.1364,2,0.2,230,200,"B7",21,3,0.338708026059906
-56.2,-0.1364,2,0.2,230,250,"B8",21,3,0.193282022674115
-56.2,-0.1364,2,0.2,230,400,"B9",21,3,0.258336022134825
-56.2,-0.1364,2,0.2,230,600,"B10",21,3,0.181577192885439
-56.2,-0.1364,2,0.2,230,800,"B11",21,3,0.250385007921382
-56.2,-0.1364,2,0.2,230,1000,"B12",21,3,0.118347416784192
-56.2,-0.1364,2,0.2,230,0,"B1",21,3,1.98963195749521
-56.2,-0.1364,2,0.2,230,1,"B2",21,3,1.97969903290382
-56.2,-0.1364,2,0.2,230,10,"B3",21,3,1.88293318250607
-56.2,-0.1364,2,0.2,230,50,"B4",21,3,1.64237308197928
-56.2,-0.1364,2,0.2,230,100,"B5",21,3,1.19673293596658
-56.2,-0.1364,2,0.2,230,150,"B6",21,3,0.813012201724337
-56.2,-0.1364,2,0.2,230,200,"B7",21,3,0.353525149851587
-56.2,-0.1364,2,0.2,230,250,"B8",21,3,0.226781976225635
-56.2,-0.1364,2,0.2,230,400,"B9",21,3,0.160379445185589
-56.2,-0.1364,2,0.2,230,600,"B10",21,3,0.163523310264913
-56.2,-0.1364,2,0.2,230,800,"B11",21,3,0.221724927255831
-56.2,-0.1364,2,0.2,230,1000,"B12",21,3,0.270084403642658
-56.2,-0.1364,2,0.2,230,0,"A1",21.5,4,2.00652832864342
-56.2,-0.1364,2,0.2,230,1,"A2",21.5,4,2.01653747655234
-56.2,-0.1364,2,0.2,230,10,"A3",21.5,4,1.91183658441957
-56.2,-0.1364,2,0.2,230,50,"A4",21.5,4,1.5190840635748
-56.2,-0.1364,2,0.2,230,100,"A5",21.5,4,1.21033924240189
-56.2,-0.1364,2,0.2,230,150,"A6",21.5,4,0.769898838557416
-56.2,-0.1364,2,0.2,230,200,"A7",21.5,4,0.554441921753654
-56.2,-0.1364,2,0.2,230,250,"A8",21.5,4,0.191041408927394
-56.2,-0.1364,2,0.2,230,400,"A9",21.5,4,0.128033120234674
-56.2,-0.1364,2,0.2,230,600,"A10",21.5,4,0.0985876247570851
-56.2,-0.1364,2,0.2,230,800,"A11",21.5,4,0.181996009360467
-56.2,-0.1364,2,0.2,230,1000,"A12",21.5,4,0.203533182541773
-56.2,-0.1364,2,0.2,230,0,"B1",21.5,4,1.98090447321261
