<<<<<<< HEAD
"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R"
"1 VH plot",-67.4,0.9,-169.5,2.8,-14.8,0.1,0.429439129475598,1.0492960092579
"2 Global fit",-67.8,11.1,-170.6,33.4,-14.9,0.8,0.429439129475598,1.0492960092579
"3 1/Tm vs lnCT",-103.552242322954,2.85085087921213,-277.014081585161,8.42869053099589,-17.6418652009481,0.236973482808151,NA,1.0492960092579
=======
"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-72.5161473029001,1.12242778472466,-184.787261204618,3.3548326721869,-15.204378240288,0.0820437666363727,0.469520172384274,1.0492960092579,6.23643141190878
"2 Global fit",-72.2411354419545,20.70531220071,-183.963740936101,61.8987278993006,-15.1847811906228,1.50948499665719,0.469520172384274,1.0492960092579,6.23643141190878
"3 1/Tm vs lnCT",-103.552242322954,2.85085087921213,-277.014081585161,8.42869053099589,-17.6418652009481,0.236973482808151,NA,1.0492960092579,6.23643141190878
>>>>>>> parent of e3aa427... Update figures and drafts
