"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R"
"1 VH plot",-52.9,2.1,-132.1,6.6,-11.9,0.1,0.952684373920434,0.953786331333073
"2 Global fit",-51.6,52.7,-128,163,-11.9,2.2,0.952684373920434,0.953786331333073
"3 1/Tm vs lnCT",-195.598777551516,16.09516753048,-577.721151122088,49.9394940960417,-16.4301169540227,0.607361316865656,NA,0.953786331333073
