"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R"
"1 VH plot",-62.3,0.8,-167,2.6,-10.5,0,0.266842690786378,0.969366096520701
"2 Global fit",-62.3,23.2,-167,74,-10.5,0.2,0.266842690786378,0.969366096520701
"3 1/Tm vs lnCT",-97.7282695298343,2.87011068570527,-278.355401522184,9.03140036047318,-11.4019088557593,0.0700284749810262,NA,0.969366096520701
