"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R"
"1 VH plot",-50.3,0.6,-120,1.9,-13,0,0.536724581918932,1.46998772034618
"2 Global fit",-50.1,20,-119.6,60.6,-13,1.2,0.536724581918932,1.46998772034618
"3 1/Tm vs lnCT",-107.909219779687,4.48255997723524,-295.863844695624,13.5064664870132,-16.1529656242331,0.293893074734169,NA,1.46998772034618
