"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R"
"1 VH plot",-41.7,0.4,-101.8,1.2,-10.2,0,1.84379575904042,1.01322352931365
"2 Global fit",-41.7,19,-101.7,60.4,-10.2,0.3,1.84379575904042,1.01322352931365
"3 1/Tm vs lnCT",-127.215172524395,23.5033481490309,-376.990846373939,75.0338334157235,-10.2990013384454,0.242800061400174,NA,1.01322352931365
