"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R"
"1 VH plot",-61.1,0.6,-161.9,1.9,-10.8,0,0.35229699670418,0.77976170572917
"2 Global fit",-61,18.9,-161.9,59.9,-10.8,0.3,0.35229699670418,0.77976170572917
"3 1/Tm vs lnCT",-107.561992891497,6.13099502643737,-307.362135135557,19.1974204668427,-12.2397739219067,0.178626913929166,NA,0.77976170572917
