"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R"
"1 VH plot",-59.6,2,-144.4,6,-14.8,0.1,0.469009661141836,1.05444831709598
"2 Global fit",-59.8,10.2,-145.2,30.3,-14.8,0.7,0.469009661141836,1.05444831709598
"3 1/Tm vs lnCT",-130.477144554117,5.68115974930488,-354.991659772979,16.7246958413457,-20.3835811087232,0.494311529198931,NA,1.05444831709598
