#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
  0.869771      2.00556e+07 4.05975e+06      1.97991e+07     137124
  0.877885      2.25178e+07 4.02835e+06      1.94372e+07     133559
  0.885999      1.94324e+07 3.90427e+06      1.90753e+07     129994
  0.894113      1.66515e+07 4.02315e+06      1.87135e+07     126429
  0.902226      2.32892e+07 4.06523e+06      1.83782e+07     123264
   0.91034      2.94965e+07 4.04409e+06      1.81131e+07     121151
  0.918454      2.34941e+07 3.8539e+06      1.7848e+07     119039
  0.926567      2.61577e+07 3.9627e+06      1.75829e+07     116927
  0.934681      2.88885e+07 3.80088e+06      1.73178e+07     114814
  0.942795      2.06107e+07 3.88282e+06      1.70527e+07     112702
  0.950909      2.08243e+07 3.91298e+06      1.67876e+07     110590
  0.959022      1.49064e+07 3.83931e+06      1.65225e+07     108478
  0.967136       1.535e+07 3.93752e+06      1.62574e+07     106365
   0.97525      1.56376e+07 3.88689e+06      1.59923e+07     104253
  0.983364      2.29138e+07 3.76844e+06      1.57272e+07     102141
  0.991477      1.69115e+07 3.69373e+06      1.54622e+07     100029
  0.999591      1.86068e+07 3.85099e+06      1.51971e+07    97916.5
    1.0077      1.29626e+07 3.73303e+06       1.498e+07    96451.4
   1.01582      1.73994e+07 3.60641e+06      1.47652e+07    95018.6
   1.02393      1.77583e+07 3.79661e+06      1.45507e+07    93587.6
   1.03205      2.21276e+07 3.64222e+06      1.43358e+07    92154.8
   1.04016      1.79668e+07 3.6827e+06      1.41213e+07    90723.8
   1.04827      1.35453e+07 3.60591e+06      1.39068e+07    89292.9
   1.05639      1.64418e+07 3.68996e+06      1.3692e+07    87860.1
    1.0645      8.70511e+06 3.52274e+06      1.34774e+07    86429.1
   1.07261      1.21468e+07 3.60554e+06      1.32629e+07    84998.1
   1.08073      1.2941e+07 3.55558e+06      1.30481e+07    83565.4
   1.08884      1.61983e+07 3.48504e+06      1.28335e+07    82134.4
