#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
1.63246 4.00589e+06 39564.9
1.64058 3.933e+06 38934.8
1.64869 3.86021e+06 38305.5
1.6568 3.78741e+06 37676.1
1.66492 3.71453e+06 37046
1.67303 3.64173e+06 36416.6
1.68114 3.56894e+06 35787.3
1.68926 3.49605e+06 35157.1
1.69737 3.42326e+06 34527.8
1.70549 3.35798e+06 33936.7
1.7136 3.29643e+06 33365.1
1.72171 3.23488e+06 32793.5
1.72983 3.17325e+06 32221.2
1.73794 3.1117e+06 31649.6
1.74605 3.05015e+06 31078
1.75417 2.98852e+06 30505.6
1.76228 2.92697e+06 29934
1.7704 2.86534e+06 29361.7
1.77851 2.80379e+06 28790.1
1.78662 2.74224e+06 28218.5
1.79474 2.68061e+06 27646.1
1.80285 2.62267e+06 27106.3
1.81096 2.57139e+06 26625.3
1.81908 2.52005e+06 26143.6
1.82719 2.46878e+06 25662.5
1.83531 2.41744e+06 25180.8
1.84342 2.36616e+06 24699.7
1.85153 2.31488e+06 24218.6
1.85965 2.26354e+06 23737
1.86776 2.21226e+06 23255.9
1.87587 2.16099e+06 22774.8
1.88399 2.10965e+06 22293.1
1.8921 2.05837e+06 21812
1.90022 2.00731e+06 21334
1.90833 1.96636e+06 20986.3
1.91644 1.92541e+06 20638.6
1.92456 1.88442e+06 20290.4
1.93267 1.84347e+06 19942.7
1.94078 1.80252e+06 19595
1.9489 1.76152e+06 19246.9
1.95701 1.72058e+06 18899.2
1.96513 1.67958e+06 18551.1
1.97324 1.63863e+06 18203.4
1.98135 1.59768e+06 17855.7
1.98947 1.55669e+06 17507.6
1.99758 1.51574e+06 17159.9
2.00569 1.4818e+06 16908.1
2.01381 1.45079e+06 16696.8
2.02192 1.41983e+06 16485.9
2.03004 1.38883e+06 16274.6
2.03815 1.35787e+06 16063.6
2.04626 1.3269e+06 15852.6
2.05438 1.2959e+06 15641.4
2.06249 1.26494e+06 15430.4
2.0706 1.23398e+06 15219.4
2.07872 1.20297e+06 15008.2
2.08683 1.17201e+06 14797.2
2.09494 1.14105e+06 14586.2
2.10306 1.11331e+06 14409.8
2.11117 1.091e+06 14291
2.11929 1.06867e+06 14172
2.1274 1.04636e+06 14053.2
2.13551 1.02405e+06 13934.4
2.14363 1.00171e+06 13815.5
2.15174 979401 13696.7
2.15985 957092 13577.9
2.16797 934755 13458.9
2.17608 912445 13340.1
2.1842 890108 13221.2
2.19231 867799 13102.4
2.20042 845835 12984.9
2.20854 830174 12892.8
2.21665 814532 12800.7
2.22476 798890 12708.7
2.23288 783228 12616.5
2.24099 767586 12524.5
2.24911 751925 12432.4
2.25722 736283 12340.3
2.26533 720641 12248.3
2.27345 704980 12156.1
2.28156 689338 12064.1
2.28967 673696 11972
2.29779 658034 11879.9
2.3059 645813 11771.8
2.31402 634858 11657.6
2.32213 623918 11543.6
2.33024 612977 11429.5
2.33836 602022 11315.3
2.34647 591082 11201.3
2.35458 580141 11087.2
2.3627 569187 10973
2.37081 558246 10859
2.37893 547291 10744.8
2.38704 536351 10630.8
2.39515 525410 10516.7
2.40327 515753 10387.2
2.41138 508030 10235.1
2.41949 500306 10083
2.42761 492573 9930.69
2.43572 484850 9778.59
2.44384 477117 9626.31
2.45195 469394 9474.21
2.46006 461671 9322.11
2.46818 453938 9169.83
2.47629 446215 9017.73
2.4844 438491 8865.63
2.49252 430758 8713.34
2.50063 423211 8561.28
2.50875 417750 8409.41
2.51686 412295 8257.73
2.52497 406840 8106.05
2.53309 401379 7954.18
2.5412 395924 7802.5
2.54931 390470 7650.82
2.55743 385008 7498.96
2.56554 379553 7347.28
2.57366 374092 7195.41
2.58177 368637 7043.73
2.58988 363183 6892.05
2.598 357721 6740.19
2.60611 353513 6651.89
2.61422 349714 6584.35
2.62234 345909 6516.72
2.63045 342109 6449.17
2.63857 338305 6381.54
2.64668 334505 6314
2.65479 330705 6246.45
2.66291 326901 6178.82
2.67102 323101 6111.28
2.67913 319301 6043.73
2.68725 315497 5976.1
2.69536 311697 5908.56
2.70347 308400 5850.05
2.71159 305771 5803.59
2.7197 303145 5757.18
2.72782 300517 5710.72
2.73593 297891 5664.31
2.74404 295265 5617.9
2.75216 292637 5571.44
2.76027 290011 5525.03
2.76838 287386 5478.63
2.7765 284757 5432.16
2.78461 282131 5385.75
2.79273 279503 5339.29
2.80084 276955 5292.91
2.80895 275081 5246.78
2.81707 273204 5200.59
2.82518 271330 5154.46
2.83329 269456 5108.33
2.84141 267579 5062.14
2.84952 265705 5016.01
2.85764 263828 4969.82
2.86575 261954 4923.68
2.87386 260080 4877.55
2.88198 258203 4831.36
2.89009 256329 4785.23
2.8982 254455 4739.1
2.90632 252900 4689.38
2.91443 251439 4638.73
2.92255 249976 4588.01
2.93066 248515 4537.35
2.93877 247054 4486.69
2.94689 245591 4435.97
2.955 244130 4385.31
2.96311 242668 4334.66
2.97123 241205 4283.94
2.97934 239744 4233.28
2.98746 238281 4182.56
2.99557 236820 4131.9
3.00368 235449 4082.78
3.0118 234185 4035.45
3.01991 232922 3988.17
3.02802 231660 3940.9
3.03614 230395 3893.57
3.04425 229133 3846.3
3.05237 227869 3798.97
3.06048 226606 3751.69
3.06859 225343 3704.42
3.07671 224079 3657.09
3.08482 222816 3609.81
3.09293 221554 3562.54
3.10105 220303 3516.78
3.10916 219143 3481.63
3.11728 217982 3446.44
3.12539 216822 3411.3
3.1335 215663 3376.15
3.14162 214502 3340.96
3.14973 213342 3305.82
3.15784 212182 3270.67
3.16596 211021 3235.48
3.17407 209862 3200.33
3.18219 208701 3165.14
3.1903 207541 3130
3.19841 206381 3094.85
3.20653 205286 3072.06
3.21464 204208 3052.31
3.22275 203130 3032.57
3.23087 202051 3012.79
3.23898 200973 2993.05
3.24709 199895 2973.3
3.25521 198816 2953.53
3.26332 197738 2933.78
3.27144 196659 2914.01
3.27955 195581 2894.26
3.28766 194503 2874.52
3.29578 193424 2854.75
3.30389 192389 2841.75
3.312 191400 2836.07
3.32012 190410 2830.39
3.32823 189422 2824.71
3.33635 188432 2819.03
3.34446 187443 2813.35
3.35257 186455 2807.68
3.36069 185465 2801.99
3.3688 184476 2796.32
3.37691 183488 2790.64
3.38503 182498 2784.96
3.39314 181509 2779.28
3.40126 180536 2775.32
3.40937 179654 2780.73
3.41748 178772 2786.15
3.4256 177890 2791.57
3.43371 177008 2796.98
3.44182 176126 2802.39
3.44994 175243 2807.81
3.45805 174361 2813.23
3.46617 173478 2818.65
3.47428 172597 2824.06
3.48239 171715 2829.48
3.49051 170832 2834.9
3.49862 169950 2840.31
