Sample description: RNA2
Sample: RNA2 c= 0.1 Code: Nov22
Subtracted from raw files: "C:\Data\Guanine-aptamer-Nov22\NTPCM-RNA-rep1_0005.img" "C:\Data\Guanine-aptamer-Nov22\NTPCM-buf-rep1_0002.img"
Processed by SAXSLab Tue Nov 23 16:11:22 2021
BeamCenter_X: 754.063 BeamCenter_Y: 199.402
Exposure time (sec): 3600
Pin diode (mean): 5.8665e-08
==============================================
0.150213 0.047328 0.0238686
0.151024 0.0501675 0.0235981
0.151835 0.0784127 0.0236223
0.152646 0.0605378 0.023806
0.153457 0.0488723 0.0233094
0.154268 0.050221 0.0245809
0.155079 0.0577379 0.0247102
0.15589 0.0219682 0.0247126
0.156701 0.0294873 0.0239909
0.157512 0.0174036 0.0241896
0.158323 0.0644085 0.0239851
0.159135 0.0430563 0.0242178
0.159946 0.0271381 0.0243717
0.160757 0.0202813 0.0237187
0.161568 0.036095 0.024375
0.162379 0.0291117 0.0239841
0.16319 0.0101841 0.0247331
0.164001 0.0557544 0.0238936
0.164812 0.0357777 0.0243528
0.165623 0.00375392 0.0240055
0.166434 0.0249242 0.025455
0.167245 0.0329227 0.0252264
0.168056 0.0510125 0.0247164
0.168868 -0.0165273 0.0245911
0.169679 0.0179219 0.0248621
0.17049 0.0336077 0.0243703
0.171301 0.0458563 0.0243741
0.172112 0.0139699 0.0245738
0.172923 -0.00754782 0.0254669
0.173734 0.0565038 0.0246356
0.174545 0.00046259 0.0252695
0.175356 -0.000578212 0.0252465
0.176167 0.0256707 0.0256011
0.176978 0.0341002 0.0259049
0.17779 0.0302022 0.0252642
0.178601 0.0214598 0.0253908
0.179412 0.0298068 0.0255724
0.180223 0.00790204 0.024775
0.181034 0.0491064 0.0254545
0.181845 0.0292846 0.0252875
0.182656 0.0474725 0.0263279
0.183467 -0.0247202 0.0255969
0.184278 0.0472618 0.0250604
0.185089 0.00320308 0.0259435
0.1859 0.015571 0.0250277
0.186712 -0.0230184 0.0251036
0.187523 0.00435304 0.0255313
0.188334 -0.0196974 0.0253719
0.189145 0.0338434 0.0257704
0.189956 0.0646837 0.025303
0.190767 0.00453814 0.0261126
0.191578 0.00662987 0.0251585
0.192389 0.000194653 0.0258668
0.1932 0.0500619 0.025379
0.194011 -0.0420179 0.0247167
0.194822 -0.0227011 0.0252137
0.195633 0.00622288 0.0258592
0.196445 0.0269109 0.0253484
0.197256 -0.00966551 0.0260833
0.198067 -0.0521394 0.0253058
0.198878 0.0182812 0.0257729
0.199689 0.0287552 0.0244638
0.2005 0.00716429 0.0258955
0.201311 0.00535983 0.0247514
0.202122 0.0498617 0.0256283
0.202933 0.0294326 0.0253333
0.203744 -0.00622172 0.0241429
0.204555 -0.0071761 0.0248079
0.205367 0.00890948 0.0252732
0.206178 -0.00850993 0.0243701
0.206989 0.00586639 0.0257198
0.2078 0.00169608 0.0251411
0.208611 0.000949827 0.0253604
0.209422 0.0134524 0.0259195
0.210233 0.026045 0.0261194
0.211044 0.0167532 0.0258223
0.211855 0.0198248 0.0258309
0.212666 -0.0179917 0.0246728
0.213477 0.0137996 0.0271543
0.214289 0.0269108 0.0255489
0.2151 -0.011272 0.0251188
0.215911 -0.0136381 0.0252886
0.216722 0.00218022 0.025132
0.217533 0.0348397 0.0266148
