Sample description: rnabuf2
Sample: rnabuf2 c= 1 Code: feb7
Subtracted from raw files: "C:\Data\phil-jacob-wmcmecoli80\rna-ecoli801_0004.img" "C:\Data\phil-jacob-wmcmecoli80\ecoli801_0002.img"
Processed by SAXSLab Tue Feb 08 09:05:15 2022
BeamCenter_X: 754.19 BeamCenter_Y: 199.712
Exposure time (sec): 3600
Pin diode (mean): 1.0799e-08
==============================================
0.151076 0.0607921 0.0265089
0.151887 0.0636681 0.0271657
0.152698 0.0565485 0.0261225
0.15351 0.0695136 0.0267925
0.154321 0.0947026 0.026554
0.155132 0.0744187 0.0268371
0.155944 0.0667804 0.026653
0.156755 0.0837061 0.0267311
0.157567 -0.00645723 0.026431
0.158378 0.0785763 0.0265873
0.159189 0.0533016 0.0268105
0.160001 0.00891712 0.0266733
0.160812 0.0332481 0.0264798
0.161623 0.0710257 0.026021
0.162435 0.0302626 0.0267349
0.163246 0.0608563 0.0268422
0.164058 0.0737019 0.0261846
0.164869 0.0590512 0.0264522
0.16568 0.0278062 0.0264215
0.166492 0.123143 0.0261339
0.167303 0.0624716 0.0270541
0.168114 0.089658 0.0261382
0.168926 0.053321 0.0273608
0.169737 0.05522 0.0267938
0.170549 -0.00451727 0.0276474
0.17136 0.0692698 0.0273553
0.172171 0.0672468 0.0273905
0.172983 0.0747634 0.0283988
0.173794 0.0561958 0.0284696
0.174605 0.0522673 0.0278551
0.175417 0.0153903 0.0288995
0.176228 0.0426172 0.0279314
0.17704 0.0258763 0.0276688
0.177851 0.0591041 0.0280798
0.178662 0.0408531 0.0278549
0.179474 0.0356791 0.0277881
0.180285 0.0151462 0.0277597
0.181096 0.0321596 0.027408
0.181908 0.0418643 0.0280417
0.182719 0.00359763 0.0272508
0.183531 0.0770116 0.0281295
0.184342 0.0737725 0.0276199
0.185153 0.003141 0.0282029
0.185965 0.118962 0.0278317
0.186776 -0.00792985 0.0285351
0.187587 0.0612174 0.0281193
0.188399 0.0298921 0.0279066
0.18921 0.0715949 0.0281966
0.190022 0.0171913 0.0283205
0.190833 0.0429219 0.0275676
0.191644 0.0500252 0.0274273
0.192456 0.0258716 0.0281756
0.193267 0.00907584 0.0278867
0.194078 -0.00418748 0.0278926
0.19489 0.049889 0.0277736
0.195701 0.0149791 0.0276665
0.196513 0.0730845 0.0286985
0.197324 0.0547741 0.0277002
0.198135 0.00446113 0.0273368
0.198947 0.0121416 0.0276585
