# Chi2 Rg SupportVolume
2.95328e+05 1.21627e+02 1.13952e+07
1.72740e+01 1.23939e+02 1.13952e+07
1.70919e+01 1.25290e+02 1.13952e+07
1.69178e+01 1.26862e+02 1.13952e+07
1.67464e+01 1.28480e+02 1.13952e+07
1.65753e+01 1.29967e+02 1.13952e+07
1.64037e+01 1.31272e+02 1.13952e+07
1.62313e+01 1.32365e+02 1.13952e+07
1.60580e+01 1.33308e+02 1.13952e+07
1.58852e+01 1.34085e+02 1.13952e+07
1.57134e+01 1.34720e+02 1.13952e+07
1.55428e+01 1.35252e+02 1.13952e+07
1.53739e+01 1.35687e+02 1.13952e+07
1.52076e+01 1.36034e+02 1.13952e+07
1.50442e+01 1.36319e+02 1.13952e+07
1.48834e+01 1.36554e+02 1.13952e+07
1.47253e+01 1.36739e+02 1.13952e+07
1.45695e+01 1.36889e+02 1.13952e+07
1.44156e+01 1.37012e+02 1.13952e+07
1.42635e+01 1.37100e+02 1.13952e+07
1.41135e+01 1.37161e+02 1.13952e+07
1.39658e+01 1.37207e+02 1.13952e+07
1.38207e+01 1.37236e+02 1.13952e+07
1.36781e+01 1.37242e+02 1.13952e+07
1.35375e+01 1.37232e+02 1.13952e+07
1.33988e+01 1.37208e+02 1.13952e+07
1.32622e+01 1.37172e+02 1.13952e+07
1.31276e+01 1.37128e+02 1.13952e+07
1.29946e+01 1.37076e+02 1.13952e+07
1.28635e+01 1.37018e+02 1.13952e+07
1.27345e+01 1.36952e+02 1.13952e+07
1.26078e+01 1.36879e+02 1.13952e+07
1.24828e+01 1.36800e+02 1.13952e+07
1.23603e+01 1.36715e+02 1.13952e+07
1.22400e+01 1.36623e+02 1.13952e+07
1.21212e+01 1.36528e+02 1.13952e+07
1.20040e+01 1.36431e+02 1.13952e+07
1.18882e+01 1.36334e+02 1.13952e+07
1.17736e+01 1.36233e+02 1.13952e+07
1.16601e+01 1.36130e+02 1.13952e+07
1.15479e+01 1.36028e+02 1.13952e+07
1.14369e+01 1.35925e+02 1.13952e+07
1.13273e+01 1.35822e+02 1.13952e+07
1.12191e+01 1.35715e+02 1.13952e+07
1.11123e+01 1.35607e+02 1.13952e+07
1.10069e+01 1.35499e+02 1.13952e+07
1.09031e+01 1.35392e+02 1.13952e+07
1.08007e+01 1.35285e+02 1.13952e+07
1.06996e+01 1.35178e+02 1.13952e+07
1.06000e+01 1.35071e+02 1.13952e+07
1.05016e+01 1.34964e+02 1.13952e+07
1.04045e+01 1.34855e+02 1.13952e+07
1.03088e+01 1.34746e+02 1.13952e+07
1.02142e+01 1.34637e+02 1.13952e+07
1.01206e+01 1.34528e+02 1.13952e+07
1.00280e+01 1.34417e+02 1.13952e+07
9.93668e+00 1.34305e+02 1.13952e+07
9.84637e+00 1.34192e+02 1.13952e+07
9.75712e+00 1.34080e+02 1.13952e+07
9.66899e+00 1.33969e+02 1.13952e+07
9.58230e+00 1.33857e+02 1.13952e+07
9.49718e+00 1.33747e+02 1.13952e+07
9.41329e+00 1.33637e+02 1.13952e+07
9.33051e+00 1.33527e+02 1.13952e+07
9.24876e+00 1.33417e+02 1.13952e+07
9.16811e+00 1.33307e+02 1.13952e+07
9.08846e+00 1.33197e+02 1.13952e+07
9.01000e+00 1.33088e+02 1.13952e+07
8.93259e+00 1.32981e+02 1.13952e+07
8.85618e+00 1.32874e+02 1.13952e+07
8.78067e+00 1.32767e+02 1.13952e+07
8.70596e+00 1.32659e+02 1.13952e+07
8.63204e+00 1.32552e+02 1.13952e+07
8.55908e+00 1.32447e+02 1.13952e+07
8.48713e+00 1.32340e+02 1.13952e+07
8.41584e+00 1.32234e+02 1.13952e+07
8.34527e+00 1.32128e+02 1.13952e+07
8.27562e+00 1.32024e+02 1.13952e+07
8.20696e+00 1.31919e+02 1.13952e+07
8.13897e+00 1.31813e+02 1.13952e+07
8.07161e+00 1.31708e+02 1.13952e+07
8.00501e+00 1.31601e+02 1.13952e+07
7.93905e+00 1.31495e+02 1.13952e+07
7.87383e+00 1.31390e+02 1.13952e+07
7.80926e+00 1.31284e+02 1.13952e+07
7.74526e+00 1.31177e+02 1.13952e+07
