Metabolite,Cell,Blank,Temperature,H.start,K.start,Syrringe.X,Syringe.M,Syringe.C,Cell.X,Cell.M,Cell.C,Sat.threshold,Replicate
ATP,01_M15mMMginto100uMATP25CpH7js2021.itc,02_B15mMMgintoB25CpH7js2021.itc,25,2.534,2880,15,0,0,0,0.1,0,0.9,1
ATP,03_M15mMMginto100uMATP31CpH7js2021.itc,04_B15mMMgintoB31CpH7js2021.itc,31,2.534,2880,15,0,0,0,0.1,0,0.9,1
ATP,05_M15mMMginto100uMATP37CpH7js2021.itc,06_B15mMMgintoB37CpH7js2021.itc,37,2.534,2880,15,0,0,0,0.1,0,0.9,1
ATP,M15mMMginto200uMATP240mMNa140mMK10mMHEPES43CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES43CpH7.itc,43,2.534,2880,15,0,0,0,0.2,0,0.9,1
ATP,M15mMMginto200uMATP240mMNa140mMK10mMHEPES49CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES49CpH7.itc,49,2.534,2880,15,0,0,0,0.2,0,0.9,1
GTP,M15mMMginto200uMGTP240mMNa140mMK10mMHEPES25CpH7.itc,02_B15mMMgintoB25CpH7js2021.itc,25,2.534,2880,15,0,0,0,0.2,0,0.9,1
GTP,M15mMMginto200uMGTP240mMNa140mMK10mMHEPES31CpH7.itc,04_B15mMMgintoB31CpH7js2021.itc,31,2.534,2880,15,0,0,0,0.2,0,0.9,1
GTP,M15mMMginto200uMGTP240mMNa140mMK10mMHEPES37CpH7.itc,06_B15mMMgintoB37CpH7js2021.itc,37,2.534,2880,15,0,0,0,0.2,0,0.9,1
GTP,M15mMMginto200uMGTP240mMNa140mMK10mMHEPES43CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES43CpH7.itc,43,2.534,2880,15,0,0,0,0.2,0,0.9,1
GTP,M15mMMginto200uMGTP240mMNa140mMK49CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES49CpH7.itc,49,2.534,2880,15,0,0,0,0.2,0,0.9,1
UTP,M15mMMginto200uMUTP240mMNa140mMK10mMHEPES25CpH7.itc,02_B15mMMgintoB25CpH7js2021.itc,25,2.534,2880,15,0,0,0,0.2,0,0.9,1
UTP,M15mMMginto200uMUTP240mMNa140mMK10mMHEPES31CpH7.itc,04_B15mMMgintoB31CpH7js2021.itc,31,2.534,2880,15,0,0,0,0.2,0,0.9,1
UTP,M15mMMginto200uMUTP240mMNa140mMK10mMHEPES37CpH7.itc,06_B15mMMgintoB37CpH7js2021.itc,37,2.534,2880,15,0,0,0,0.2,0,0.9,1
