"Metabolites","Temperature","K.app"
"Pyruvic acid",38,9.17305585965617
"Pyruvic acid",39,9.29702480323335
"Pyruvic acid",40,9.42108278814661
"Pyruvic acid",41,9.54520360201909
"Pyruvic acid",42,9.66936103993718
"Pyruvic acid",43,9.79352891580972
"Pyruvic acid",44,9.91768107359077
"Pyruvic acid",45,10.0417913983609
"Pyruvic acid",46,10.1658338272614
"Pyruvic acid",47,10.2897823602774
"Pyruvic acid",48,10.413611070864
"Pyruvic acid",49,10.5372941164123
"Pyruvic acid",50,10.6608057485503
