"Iteration","MCM","MCM.conc"
66,"NTPCM",25.4637511104428
66,"WMCM",162.570250678553
66,"Ecoli80",188.034001788996
67,"NTPCM",25.5175108884281
67,"WMCM",157.622822479625
67,"Ecoli80",183.140333368053
68,"NTPCM",26.0212258643297
68,"WMCM",149.481155106875
68,"Ecoli80",175.502380971204
69,"NTPCM",27.0822311329555
69,"WMCM",161.884921211191
69,"Ecoli80",188.967152344146
70,"NTPCM",26.9570913064504
70,"WMCM",165.320509592646
70,"Ecoli80",192.277600899096
71,"NTPCM",28.366547805202
71,"WMCM",155.739174482624
71,"Ecoli80",184.105722287826
72,"NTPCM",27.9557864320721
72,"WMCM",165.575409554586
72,"Ecoli80",193.531195986659
73,"NTPCM",27.8113353894999
73,"WMCM",167.464049458183
73,"Ecoli80",195.275384847683
74,"NTPCM",29.3613328837329
74,"WMCM",154.488323828976
74,"Ecoli80",183.849656712709
75,"NTPCM",24.9508036442758
75,"WMCM",170.963113862169
75,"Ecoli80",195.913917506445
76,"NTPCM",29.2987712727035
76,"WMCM",172.878046118263
76,"Ecoli80",202.176817390967
77,"NTPCM",27.1968854143131
77,"WMCM",174.105387988199
77,"Ecoli80",201.302273402512
78,"NTPCM",27.196093825177
78,"WMCM",193.119296559808
78,"Ecoli80",220.315390384985
79,"NTPCM",23.7689070073039
79,"WMCM",180.59374627853
79,"Ecoli80",204.362653285834
80,"NTPCM",27.7083771501981
80,"WMCM",183.792020534642
80,"Ecoli80",211.50039768484
81,"NTPCM",26.4003967974099
81,"WMCM",182.319603668914
81,"Ecoli80",208.720000466324
82,"NTPCM",26.7386673497629
82,"WMCM",153.002191119058
82,"Ecoli80",179.740858468821
83,"NTPCM",27.4901917897236
83,"WMCM",183.328243877843
83,"Ecoli80",210.818435667567
84,"NTPCM",28.89963305861
84,"WMCM",188.914762765343
84,"Ecoli80",217.814395823953
85,"NTPCM",30.0049921877336
85,"WMCM",186.67002671225
85,"Ecoli80",216.675018899984
86,"NTPCM",27.1913371001
86,"WMCM",173.105327842975
86,"Ecoli80",200.296664943075
87,"NTPCM",26.5673986278805
87,"WMCM",170.212291309678
87,"Ecoli80",196.779689937559
88,"NTPCM",27.5766515262787
88,"WMCM",171.65100388316
88,"Ecoli80",199.227655409439
89,"NTPCM",28.153293005082
89,"WMCM",176.346858493275
89,"Ecoli80",204.500151498357
90,"NTPCM",27.0761698309723
90,"WMCM",174.962363558879
90,"Ecoli80",202.038533389851
91,"NTPCM",27.2889416149411
91,"WMCM",160.12675851743
91,"Ecoli80",187.415700132371
92,"NTPCM",27.2400800228635
92,"WMCM",177.096152520775
92,"Ecoli80",204.336232543639
93,"NTPCM",27.0635689027249
93,"WMCM",148.751785885014
93,"Ecoli80",175.815354787739
94,"NTPCM",26.5837643924821
94,"WMCM",173.299243178515
94,"Ecoli80",199.883007570997
95,"NTPCM",27.2230181546445
95,"WMCM",148.477815234515
95,"Ecoli80",175.700833389159
96,"NTPCM",24.2548621308428
96,"WMCM",170.573199050625
96,"Ecoli80",194.828061181468
97,"NTPCM",30.5279290287046
97,"WMCM",163.892286818688
97,"Ecoli80",194.420215847393
98,"NTPCM",27.2288733104297
98,"WMCM",174.16141866079
98,"Ecoli80",201.39029197122
99,"NTPCM",27.8016291261365
99,"WMCM",176.243766290449
99,"Ecoli80",204.045395416586
100,"NTPCM",29.5077598016702
100,"WMCM",161.478055625345
100,"Ecoli80",190.985815427015
