"Iteration","MCM","MCM.conc"
1,"NTPCM",27.8911747078245
1,"WMCM",177.795536713748
1,"Ecoli80",205.686711421572
2,"NTPCM",27.0645981289909
2,"WMCM",165.35295846305
2,"Ecoli80",192.41755659204
3,"NTPCM",29.276032160531
3,"WMCM",169.869270697582
3,"Ecoli80",199.145302858113
4,"NTPCM",25.8471210229759
4,"WMCM",163.359256857155
4,"Ecoli80",189.206377880131
5,"NTPCM",28.7968562356569
5,"WMCM",142.375431078668
5,"Ecoli80",171.172287314325
6,"NTPCM",30.3632916152105
6,"WMCM",174.392425511966
6,"Ecoli80",204.755717127176
7,"NTPCM",27.317533783011
7,"WMCM",183.147166554481
7,"Ecoli80",210.464700337492
8,"NTPCM",30.5509885165227
8,"WMCM",157.803767695092
8,"Ecoli80",188.354756211614
9,"NTPCM",27.0147271365097
9,"WMCM",154.057464558103
9,"Ecoli80",181.072191694612
10,"NTPCM",28.9812421100027
10,"WMCM",167.513398472239
10,"Ecoli80",196.494640582242
11,"NTPCM",27.5595323719224
11,"WMCM",162.90962869276
11,"Ecoli80",190.469161064682
12,"NTPCM",27.4567916939702
12,"WMCM",163.957112198978
12,"Ecoli80",191.413903892949
13,"NTPCM",28.9859641164974
13,"WMCM",180.493924890143
13,"Ecoli80",209.47988900664
14,"NTPCM",29.0400115600063
14,"WMCM",168.862079684972
14,"Ecoli80",197.902091244979
15,"NTPCM",25.0583501172384
15,"WMCM",167.633477528734
15,"Ecoli80",192.691827645972
16,"NTPCM",27.8949513051612
16,"WMCM",155.004424546976
16,"Ecoli80",182.899375852138
17,"NTPCM",29.1279266013721
17,"WMCM",160.722658288162
17,"Ecoli80",189.850584889534
18,"NTPCM",28.9733577880656
18,"WMCM",182.675417372015
18,"Ecoli80",211.64877516008
19,"NTPCM",27.9570813549901
19,"WMCM",166.105432696108
19,"Ecoli80",194.062514051099
20,"NTPCM",28.7484682059687
20,"WMCM",158.432775360459
20,"Ecoli80",187.181243566428
21,"NTPCM",27.8085167556819
21,"WMCM",176.425696575952
21,"Ecoli80",204.234213331634
22,"NTPCM",28.2173069985518
22,"WMCM",158.112421876124
22,"Ecoli80",186.329728874676
23,"NTPCM",26.8914821921559
23,"WMCM",181.100262157497
23,"Ecoli80",207.991744349653
24,"NTPCM",26.729507800953
24,"WMCM",156.51817997393
24,"Ecoli80",183.247687774883
25,"NTPCM",27.1110874439308
25,"WMCM",163.02236782832
25,"Ecoli80",190.133455272251
26,"NTPCM",28.5125597286456
26,"WMCM",175.785783846445
26,"Ecoli80",204.29834357509
27,"NTPCM",26.4810515401969
27,"WMCM",181.4665704238
27,"Ecoli80",207.947621963997
28,"NTPCM",29.1363372208212
28,"WMCM",169.928497084524
28,"Ecoli80",199.064834305345
29,"NTPCM",25.7710696631493
29,"WMCM",164.251188886531
29,"Ecoli80",190.022258549681
30,"NTPCM",26.9487419119198
30,"WMCM",197.696220430496
30,"Ecoli80",224.644962342416
31,"NTPCM",26.6896070021018
31,"WMCM",173.460001869821
31,"Ecoli80",200.149608871923
32,"NTPCM",26.1322773011093
32,"WMCM",153.99305932458
32,"Ecoli80",180.12533662569
33,"NTPCM",28.1880574281181
33,"WMCM",172.922898976884
