"i","Mg.T","Mg.free","Mg.free.NTP","Mg.free.WMCM"
1,0.1,0.000786300827926215,0.0007529181382363,0.0263157902105263
1,0.103479733416876,0.000813065394361169,0.00078986478241331,0.0272315095307569
1,0.107080552280278,0.000840719252879104,0.000811195907468625,0.0281790934421783
1,0.11080667004095,0.000869290394262212,0.000832839042506906,0.0291596507476184
1,0.114662446766492,0.000898807576557993,0.0010257302064629,0.0301743288332875
1,0.118652394243234,0.000929300337400308,0.00105237907944617,0.0312243150113774
1,0.122781181255639,0.000960799005768971,0.00107932385683372,0.0323108379093788
1,0.127053639049427,0.000993334713101119,0.00110653108759223,0.033435168907744
1,0.131474766984787,0.0010269394036602,0.00113396315996805,0.0345986236275756
1,0.136049738386317,0.00106164584406045,0.00116157795502106,0.0358025634700834
1,0.140783906596518,0.00109748763183603,0.00118932847489967,0.03704839720961
1,0.145682811239941,0.00113449920293499,0.0012171624441517,0.0383375826420897
1,0.150752184705302,0.00117271583800807,0.00124502188225853,0.0396716282908689
1,0.155997958853163,0.00121217366735225,0.00127284264546645,0.041052095171885
1,0.161426271957021,0.00125290967435712,0.00130055393586963,0.0424805986202687
1,0.167043475885927,0.0012949616972906,0.00132807777557189,0.0466709607781333
1,0.172856143537041,0.00133836842924724,0.00135532844362176,0.0482983127841679
1,0.178871076526823,0.00138316941606872,0.00145823463235741,0.0499825268870822
1,0.185095313149853,0.00142940505203126,0.00151809708368459,0.0517255982403567
1,0.1915361366146,0.00147711657307922,0.00160611366619112,0.0535295925807073
1,0.198201083565772,0.00152634604736688,0.00170284218323784,0.0553966487649136
1,0.20509795290322,0.00170821105776353,0.00173117275979791,0.0573289814005057
1,0.212234814907723,0.00168730984614397,0.00175835186828918,0.0593288835739596
1,0.219620020684312,0.00179512134064783,0.00178419357901104,0.0613987296802004
1,0.227262211934214,0.00191008104991319,0.00180849572841317,0.0635409783573724
1,0.235170331066821,0.00187631063515763,0.0019443194259424,0.0657581755310045
1,0.243353631663531,0.00199698548484436,0.00195181487746606,0.0680529575718683
1,0.251821689305709,0.0021256817935008,0.00213699875531617,0.0704280545720163
1,0.260584412779422,0.00207436071675412,0.00215500319419212,0.0728862937436708
1,0.269652055670077,0.00220855481985638,0.0021697632888838,0.0754306029458393
1,0.279035228360523,0.00227496092863057,0.00226505205950489,0.0780640143437393
1,0.28874491044664,0.00227668840396004,0.00246152449591398,0.0807896682063338
1,0.298792463584981,0.00242473331960041,0.00246451265394077,0.0836108168475088
1,0.309189644787455,0.0025826530465299,0.00264088533478703,0.0865308287166631
1,0.319948620178645,0.00256023742347295,0.00272585129119003,0.0895531926447338
1,0.331081979231836,0.00263773006227268,0.0027087120375758,0.0926815222519401
1,0.342602749500421,0.00281025875046945,0.00283897363323307,0.0959195605238077
1,0.354524411861923,0.00285007005005578,0.00291384463645775,0.0992711845623215
1,0.366860916292466,0.00306203523730603,0.00312560747620966,0.102740410519359
1,0.379626698190153,0.00302231574265321,0.00312476163690896,0.106331398719867
1,0.392836695266459,0.00322093398947678,0.00322752670161708,0.110048458982593
1,0.406506365025398,0.00328517970352376,0.00336416131350477,0.113896056146498
1,0.420651702850916,0.00338140207112464,0.00346383746842812,0.117878815811383
1,0.435289260723677,0.00359976488814603,0.0035688657867131,0.122001530301604
