"Metabolites","Conc.Mg","Mg.free"
"Eco80",2.2603161,0.212926831778981
"Eco80",2.2603161,0.212601950340374
"Eco80",2.2603161,0.207759415926703
"Eco80",2.76269338630192,0.234198052976741
"Eco80",2.76269338630192,0.239453187667574
"Eco80",2.76269338630192,0.235081456742305
"Eco80",3.056530441107,0.258200075965863
"Eco80",3.056530441107,0.255930852945514
"Eco80",3.056530441107,0.245760649689019
"Eco80",3.52223078896039,0.282051646837349
"Eco80",3.52223078896039,0.274021337894499
"Eco80",3.52223078896039,0.271171359362407
"Eco80",11.0260241,0.746710319436799
"Eco80",11.0260241,0.729329556527261
"Eco80",11.0260241,0.77875316277405
"Eco80",5.43010248492223,0.367747966928776
"Eco80",5.43010248492223,0.366275363207133
"Eco80",5.43010248492223,0.371688516086733
"Eco80",7.28408896301916,0.447017020785352
"Eco80",7.28408896301916,0.463069215102001
"Eco80",7.28408896301916,0.451596006085117
"Eco80",10.22245951107,0.646040277945181
"Eco80",10.22245951107,0.632717329887808
"Eco80",10.22245951107,0.625141427262775
"Eco80",14.8794629896039,0.83438430341724
"Eco80",14.8794629896039,0.868075207182778
"Eco80",14.8794629896039,0.870517885982738
"Eco80",22.2603161,1.28351042602991
"Eco80",22.2603161,1.30570280975499
"Eco80",22.2603161,1.26944271863426
"Eco80",33.9581799492223,2.323520453483
"Eco80",33.9581799492223,2.17744545203192
"Eco80",33.9581799492223,2.33465081503458
"Eco80",52.4980447301916,4.71915026981883
"Eco80",52.4980447301916,4.82855636094584
"Eco80",52.4980447301916,4.69983041181785
"Eco80",81.8817502106994,7.16746163273321
"Eco80",81.8817502106994,6.16153778504834
"Eco80",81.8817502106994,6.4943348225902
"Eco80",42.2603161,3.18842635504421
"Eco80",42.2603161,3.21762477446701
"Eco80",42.2603161,2.96347149190359
"Eco80",202.2603161,9.57988528984366
"Eco80",202.2603161,11.7516085746524
"Eco80",202.2603161,10.5374588101568
"NTPCM",67.47375161,12.8668629341297
"NTPCM",67.47375161,11.2296613931829
"NTPCM",67.47375161,10.5126804429089
"NTPCM",58.47375161,7.79487744040012
"NTPCM",58.47375161,7.79074008123274
"NTPCM",58.47375161,8.66670780252394
"NTPCM",34.47375161,3.4639097639622
"NTPCM",34.47375161,3.4969328463981
"NTPCM",34.47375161,3.43900359534542
"NTPCM",19.87375161,1.32224854634132
"NTPCM",19.87375161,1.36711777694467
"NTPCM",19.87375161,1.33462037290306
"NTPCM",11.67375161,0.864108062252087
"NTPCM",11.67375161,0.870378432510337
"NTPCM",11.67375161,0.825428084167699
"NTPCM",7.07375161,0.5211690409472
"NTPCM",7.07375161,0.515308739625831
"NTPCM",7.07375161,0.582234606748668
"NTPCM",4.07375161,0.334938255844552
"NTPCM",4.07375161,0.329490798248964
"NTPCM",4.07375161,0.329759176102193
"NTPCM",2.47375161,0.219446458347434
"NTPCM",2.47375161,0.228512341653121
"NTPCM",2.47375161,0.229279331886965
"NTPCM",1.47375161,0.183762166115158
"NTPCM",1.47375161,0.167166827471929
"NTPCM",1.47375161,0.166107365695148
"NTPCM",0.87375161,0.126277705210921
"NTPCM",0.87375161,0.122591503148404
"NTPCM",0.87375161,0.129550210188606
"NTPCM",0.57375161,0.102427365216262
"NTPCM",0.57375161,0.101227043310229
"NTPCM",0.57375161,0.0907604989888487
"NTPCM",0.37375161,0.0880711976636146
"NTPCM",0.37375161,0.088526387073168
"NTPCM",0.37375161,0.0876161128784509
"NTPCM",0.27375161,0.0846281559554108
"NTPCM",0.27375161,0.085818467684726
"NTPCM",0.27375161,0.0633457259514568
"NTPCM",0.17375161,0.0774581798103246
"NTPCM",0.17375161,0.0768546711178962
"NTPCM",0.17375161,0.0801978404053854
"NTPCM",0.07375161,0.0690687407832444
"NTPCM",0.07375161,0.0669876688418964
"NTPCM",0.07375161,0.0701423174373369
"WMCM",1.5228,0.518262497948456
"WMCM",1.5228,0.520121951019341
"WMCM",1.5228,0.538381703072278
"WMCM",1.6228,0.56319725084818
"WMCM",1.6228,0.538407075285048
"WMCM",1.6228,0.540564897510448
"WMCM",1.7228,0.557579098848381
"WMCM",1.7228,0.584062808050764
"WMCM",1.7228,0.588298480504571
"WMCM",1.8228,0.639324429786468
"WMCM",1.8228,0.62277235745582
"WMCM",1.8228,0.63660522781928
"WMCM",2.0228,0.701865637626736
"WMCM",2.0228,0.678783938084966
"WMCM",2.0228,0.709497549075577
"WMCM",2.3228,0.80139196496268
"WMCM",2.3228,0.787765933584732
"WMCM",2.3228,0.817923595054883
"WMCM",2.9228,0.874738421675541
"WMCM",2.9228,1.09265098086415
"WMCM",2.9228,1.08791277483768
"WMCM",5.0228,1.83552082290142
"WMCM",5.0228,1.80526030592057
"WMCM",5.0228,1.74460535030904
"WMCM",5.5228,1.95882945213191
"WMCM",5.5228,1.88248059246613
"WMCM",5.5228,1.886299005119
"WMCM",8.5228,2.49471036726485
"WMCM",8.5228,2.84942749625273
"WMCM",8.5228,2.84911032832697
"WMCM",13.1228,4.047748025939
"WMCM",13.1228,4.07283033494519
"WMCM",13.1228,4.30406119363288
"WMCM",21.3228,6.70604995673543
"WMCM",21.3228,6.42179816518429
"WMCM",21.3228,6.10822998434024
"WMCM",35.9228,8.78611359885212
"WMCM",35.9228,8.42471936265779
"WMCM",35.9228,8.2889873992598
"WMCM",59.9228,10.9437974696412
"WMCM",59.9228,10.4684674070694
"WMCM",59.9228,10.6552884184761
"WMCM",68.9228,12.2469973994397
"WMCM",68.9228,14.206976729038
"WMCM",68.9228,14.5357565674012
