"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-69.6514749449775,0.848180998898863,-176.232458316607,2.54420543562961,-14.9929779980818,0.0593079897059979,0.482175799884589,1.0492960092579,6.23643141190878
"2 Global fit",-69.6814091482733,11.4131602713097,-176.316907419785,34.2240770361068,-14.9967203120269,0.801139365446993,0.482175799884589,1.0492960092579,6.23643141190878
