"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-61.3900842143199,0.760240042051431,-152.072160179322,2.29346442344975,-14.2249037347031,0.0491913616490402,0.820801867954714,1.02479491656998,3.72591498608729
"2 Global fit",-61.118775522012,14.0901724641023,-151.247379930852,42.5325682174166,-14.2094006364584,0.903229293518276,0.820801867954714,1.02479491656998,3.72591498608729
