"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-53.4551566745405,0.368857855864245,-137.653464411053,1.176519722654,-10.7619346874524,0.00462579016555229,0.489992659920169,0.859356394186625,1.81285657786766
"2 Global fit",-53.1660078204888,8.48813141102237,-136.727782037947,27.1081630346759,-10.7598862214196,0.095728679738762,0.489992659920169,0.859356394186625,1.81285657786766
"3 1/Tm vs lnCT",-157.00379032944,11.7208043143744,-468.980020903499,37.1940535772543,-11.5590164466373,0.187688901717126,NA,0.859356394186625,1.81285657786766
