"Temperature","K","SE.K","Fmax","Fmin","Helix","Condition","K_error","Kd","In_Kd_range","SE.lnK","lnK","invT"
23.36404779,1479970197.75336,1258514766.35237,1.08580281833133,0.381341127505669,"F","Monovalent",0.377857757877751,0.675689281796369,FALSE,0.850364938606757,21.1152877878666,0.0033725214958727
23.83872474,1466481196.75044,1244404746.50634,1.09195879211716,0.38392300544138,"F","Monovalent",0.377857757877751,0.681904413241638,FALSE,0.848565088501515,21.1061316244451,0.00336713119622792
24.30990237,1451976180.16385,1251722191.30432,1.09865209347053,0.387005543855323,"F","Monovalent",0.377857757877751,0.688716532448319,FALSE,0.862081767183725,21.0961913483686,0.00336179764745614
24.7790939,1502325584.48503,1327337870.55073,1.10650678267372,0.390194598632203,"F","Monovalent",0.377857757877751,0.665634673553658,FALSE,0.88352211015944,21.130280134098,0.00335650334416702
25.25263594,1536714293.67799,1361111299.25525,1.11375023022146,0.392967891618177,"F","Monovalent",0.377857757877751,0.650739050267171,FALSE,0.885728274185278,21.1529123985233,0.00335117683143077
25.72835322,1632731626.2451,1485677818.43841,1.12093629753018,0.395106561403283,"F","Monovalent",0.377857757877751,0.612470527259747,FALSE,0.909933876797084,21.213520293427,0.00334584284618269
26.20085491,1524779580.4848,1362067685.13144,1.12574702479852,0.397670204845514,"F","Monovalent",0.377857757877751,0.655832497233505,FALSE,0.89328825134081,21.1451156991722,0.00334056169741239
26.67051933,1437238776.52178,1248375651.16863,1.1354522412146,0.39945197668874,"F","Monovalent",0.377857757877751,0.695778611275762,FALSE,0.868593076920586,21.0859895934421,0.0033353287567998
27.1411295,1525366190.94547,1398955223.14563,1.14212400160885,0.402294508913187,"F","Monovalent",0.377857757877751,0.655580283564675,FALSE,0.917127461884093,21.1455003433905,0.00333010169719316
27.61940034,1505131920.76419,1390939576.18579,1.14892533605385,0.404586679928892,"F","Monovalent",0.377857757877751,0.664393589827182,FALSE,0.924131338254773,21.1321463862986,0.00332480630964974
28.0908617,1582802942.7091,1522523984.51268,1.15707615789271,0.406640602208155,"F","Monovalent",0.377857757877751,0.63179058682341,FALSE,0.961916321627981,21.1824631266532,0.00331960277353037
28.56705186,1516748151.15241,1465810063.63028,1.16355975271156,0.409240181112281,"F","Monovalent",0.377857757877751,0.659305237484688,FALSE,0.966416252109208,21.1398345058325,0.00331436355298875
29.03643254,1575022413.97448,1552996779.74483,1.1726217847512,0.412160011513265,"F","Monovalent",0.377857757877751,0.634911599433407,FALSE,0.986015669342722,21.1775353402177,0.0033092154124677
29.50628611,1604499495.08576,1611359221.68491,1.17938562483973,0.414065796100374,"F","Monovalent",0.377857757877751,0.623247313609499,FALSE,1.00427530617501,21.1960777038278,0.00330407807765325
29.98342203,1612943712.41974,1676284541.64291,1.18632040326953,0.416834435673604,"F","Monovalent",0.377857757877751,0.619984437336502,FALSE,1.03927032836636,21.2013267392746,0.00329887741610041
30.45412678,1590147269.02963,1660262436.97354,1.1949194882117,0.419138480084444,"F","Monovalent",0.377857757877751,0.62887257015524,FALSE,1.04409350587175,21.1870924709206,0.00329376287010956
30.92435866,1613546404.47976,1735874267.49762,1.20086423041866,0.421961737297474,"F","Monovalent",0.377857757877751,0.619752860669923,FALSE,1.07581304304496,21.2017003291789,0.0032886692728937
31.40253491,1537296272.88448,1629731709.35674,1.20700871310165,0.424543597273856,"F","Monovalent",0.377857757877751,0.650492697886835,FALSE,1.06012857645119,21.1532910434243,0.00328350575146424
31.88430506,1517568304.78953,1611665272.22635,1.21510724311535,0.426178345474241,"F","Monovalent",0.377857757877751,0.658948922986823,FALSE,1.06200509534882,21.1403750912784,0.00327831979358289
32.34593051,1619543365.76897,1785641516.79739,1.2246032469901,0.429323240311928,"F","Monovalent",0.377857757877751,0.617457995343764,FALSE,1.10255863136432,21.2054100734749,0.00327336602595846
32.8220261,1553679237.22989,1727966054.7604,1.23201713177672,0.431855849786008,"F","Monovalent",0.377857757877751,0.643633496565827,FALSE,1.11217683377249,21.1638916565372,0.00326827263507146
33.2949061,1486441530.22854,1633592343.23578,1.23952324387078,0.434331419881857,"F","Monovalent",0.377857757877751,0.672747618835874,FALSE,1.09899535906039,21.1196508657765,0.00326322931167822
33.76684034,1445679638.3349,1625239694.28234,1.24689076372505,0.437115366535707,"F","Monovalent",0.377857757877751,0.691716182121635,FALSE,1.12420459636152,21.0918453858846,0.00325821156927136
34.24113898,1421655190.62213,1599775819.51845,1.25321526327082,0.439621226124964,"F","Monovalent",0.377857757877751,0.70340544359592,FALSE,1.1252910199824,21.0750876569423,0.00325318421122433
34.71297864,1429981759.21196,1630715884.0322,1.25900494271931,0.442483752763138,"F","Monovalent",0.377857757877751,0.699309619551428,FALSE,1.14037530445903,21.080927525341,0.00324819828748994
35.18566949,1452283788.93534,1665487807.65143,1.26932240651504,0.445276292974728,"F","Monovalent",0.377857757877751,0.688570655142475,FALSE,1.14680603084635,21.0964031811769,0.00324321867026946
35.65713085,1405242198.89889,1614496617.87456,1.27824966117725,0.448064877249939,"F","Monovalent",0.377857757877751,0.711621100464796,FALSE,1.14890985990858,21.0634755084337,0.0032382671904223
36.13142949,1312301254.40622,1454447237.6127,1.28379735160741,0.450559770087653,"F","Monovalent",0.377857757877751,0.762020150969431,FALSE,1.1083181035827,20.9950481157498,0.00323330114468555
36.60317458,1254076970.94835,1370965661.64636,1.29011997327896,0.453812471896802,"F","Monovalent",0.377857757877751,0.797399221232638,FALSE,1.09320695093349,20.949665657615,0.00322837692093364
