# Chi2 Rg SupportVolume
2.92893e+05 4.92201e+01 1.13952e+07
1.72784e+01 7.91236e+01 1.13952e+07
1.70976e+01 8.91832e+01 1.13952e+07
1.69232e+01 9.56351e+01 1.13952e+07
1.67504e+01 1.00275e+02 1.13952e+07
1.65781e+01 1.03921e+02 1.13952e+07
1.64061e+01 1.06911e+02 1.13952e+07
1.62353e+01 1.09438e+02 1.13952e+07
1.60658e+01 1.11623e+02 1.13952e+07
1.58990e+01 1.13536e+02 1.13952e+07
1.57353e+01 1.15204e+02 1.13952e+07
1.55752e+01 1.16696e+02 1.13952e+07
1.54171e+01 1.18051e+02 1.13952e+07
1.52609e+01 1.19283e+02 1.13952e+07
1.51068e+01 1.20415e+02 1.13952e+07
1.49558e+01 1.21465e+02 1.13952e+07
1.48075e+01 1.22439e+02 1.13952e+07
1.46619e+01 1.23344e+02 1.13952e+07
1.45188e+01 1.24183e+02 1.13952e+07
1.43772e+01 1.24963e+02 1.13952e+07
1.42378e+01 1.25679e+02 1.13952e+07
1.41004e+01 1.26345e+02 1.13952e+07
1.39649e+01 1.26966e+02 1.13952e+07
1.38313e+01 1.27542e+02 1.13952e+07
1.37002e+01 1.28078e+02 1.13952e+07
1.35713e+01 1.28580e+02 1.13952e+07
1.34446e+01 1.29051e+02 1.13952e+07
1.33194e+01 1.29494e+02 1.13952e+07
1.31967e+01 1.29912e+02 1.13952e+07
1.30761e+01 1.30306e+02 1.13952e+07
1.29572e+01 1.30676e+02 1.13952e+07
1.28405e+01 1.31024e+02 1.13952e+07
1.27258e+01 1.31353e+02 1.13952e+07
1.26127e+01 1.31666e+02 1.13952e+07
1.25011e+01 1.31964e+02 1.13952e+07
1.23911e+01 1.32246e+02 1.13952e+07
1.22827e+01 1.32514e+02 1.13952e+07
1.21761e+01 1.32770e+02 1.13952e+07
1.20709e+01 1.33012e+02 1.13952e+07
1.19671e+01 1.33242e+02 1.13952e+07
1.18648e+01 1.33459e+02 1.13952e+07
1.17638e+01 1.33666e+02 1.13952e+07
1.16647e+01 1.33862e+02 1.13952e+07
1.15670e+01 1.34051e+02 1.13952e+07
1.14707e+01 1.34232e+02 1.13952e+07
1.13758e+01 1.34402e+02 1.13952e+07
1.12821e+01 1.34564e+02 1.13952e+07
1.11897e+01 1.34722e+02 1.13952e+07
1.10985e+01 1.34873e+02 1.13952e+07
1.10087e+01 1.35019e+02 1.13952e+07
1.09205e+01 1.35156e+02 1.13952e+07
1.08335e+01 1.35286e+02 1.13952e+07
1.07474e+01 1.35410e+02 1.13952e+07
1.06627e+01 1.35528e+02 1.13952e+07
1.05791e+01 1.35642e+02 1.13952e+07
1.04967e+01 1.35752e+02 1.13952e+07
1.04153e+01 1.35857e+02 1.13952e+07
1.03348e+01 1.35959e+02 1.13952e+07
1.02554e+01 1.36054e+02 1.13952e+07
1.01772e+01 1.36145e+02 1.13952e+07
1.01000e+01 1.36233e+02 1.13952e+07
1.00239e+01 1.36317e+02 1.13952e+07
9.94908e+00 1.36396e+02 1.13952e+07
9.87561e+00 1.36473e+02 1.13952e+07
9.80314e+00 1.36546e+02 1.13952e+07
9.73166e+00 1.36617e+02 1.13952e+07
9.66167e+00 1.36684e+02 1.13952e+07
9.59232e+00 1.36748e+02 1.13952e+07
9.52372e+00 1.36810e+02 1.13952e+07
9.45609e+00 1.36869e+02 1.13952e+07
9.38915e+00 1.36926e+02 1.13952e+07
9.32312e+00 1.36981e+02 1.13952e+07
9.25782e+00 1.37033e+02 1.13952e+07
9.19337e+00 1.37082e+02 1.13952e+07
9.13007e+00 1.37128e+02 1.13952e+07
9.06773e+00 1.37172e+02 1.13952e+07
9.00616e+00 1.37213e+02 1.13952e+07
