# Chi2 Rg SupportVolume
2.94097e+05 1.49965e+02 1.13952e+07
1.72619e+01 1.45785e+02 1.13952e+07
1.70765e+01 1.44472e+02 1.13952e+07
1.69009e+01 1.43845e+02 1.13952e+07
1.67309e+01 1.43570e+02 1.13952e+07
1.65664e+01 1.43538e+02 1.13952e+07
1.64062e+01 1.43631e+02 1.13952e+07
1.62505e+01 1.43747e+02 1.13952e+07
1.60979e+01 1.43863e+02 1.13952e+07
1.59491e+01 1.43965e+02 1.13952e+07
1.58049e+01 1.44072e+02 1.13952e+07
1.56650e+01 1.44188e+02 1.13952e+07
1.55286e+01 1.44315e+02 1.13952e+07
1.53956e+01 1.44450e+02 1.13952e+07
1.52655e+01 1.44582e+02 1.13952e+07
1.51391e+01 1.44712e+02 1.13952e+07
1.50156e+01 1.44846e+02 1.13952e+07
1.48944e+01 1.44971e+02 1.13952e+07
1.47759e+01 1.45098e+02 1.13952e+07
1.46597e+01 1.45225e+02 1.13952e+07
1.45457e+01 1.45346e+02 1.13952e+07
1.44343e+01 1.45464e+02 1.13952e+07
1.43252e+01 1.45575e+02 1.13952e+07
1.42183e+01 1.45681e+02 1.13952e+07
1.41134e+01 1.45780e+02 1.13952e+07
1.40106e+01 1.45878e+02 1.13952e+07
1.39091e+01 1.45966e+02 1.13952e+07
1.38094e+01 1.46054e+02 1.13952e+07
1.37114e+01 1.46140e+02 1.13952e+07
1.36153e+01 1.46219e+02 1.13952e+07
1.35211e+01 1.46290e+02 1.13952e+07
1.34284e+01 1.46356e+02 1.13952e+07
1.33371e+01 1.46419e+02 1.13952e+07
1.32469e+01 1.46477e+02 1.13952e+07
1.31577e+01 1.46528e+02 1.13952e+07
1.30698e+01 1.46572e+02 1.13952e+07
1.29829e+01 1.46612e+02 1.13952e+07
1.28975e+01 1.46649e+02 1.13952e+07
1.28131e+01 1.46682e+02 1.13952e+07
1.27298e+01 1.46709e+02 1.13952e+07
1.26472e+01 1.46735e+02 1.13952e+07
1.25660e+01 1.46760e+02 1.13952e+07
1.24859e+01 1.46783e+02 1.13952e+07
1.24066e+01 1.46803e+02 1.13952e+07
1.23282e+01 1.46818e+02 1.13952e+07
1.22508e+01 1.46831e+02 1.13952e+07
1.21746e+01 1.46842e+02 1.13952e+07
1.20995e+01 1.46853e+02 1.13952e+07
1.20251e+01 1.46862e+02 1.13952e+07
1.19517e+01 1.46869e+02 1.13952e+07
1.18792e+01 1.46873e+02 1.13952e+07
1.18079e+01 1.46876e+02 1.13952e+07
1.17379e+01 1.46877e+02 1.13952e+07
1.16690e+01 1.46878e+02 1.13952e+07
1.16008e+01 1.46876e+02 1.13952e+07
1.15334e+01 1.46873e+02 1.13952e+07
1.14666e+01 1.46867e+02 1.13952e+07
1.14005e+01 1.46859e+02 1.13952e+07
1.13351e+01 1.46850e+02 1.13952e+07
1.12703e+01 1.46840e+02 1.13952e+07
1.12061e+01 1.46831e+02 1.13952e+07
1.11430e+01 1.46822e+02 1.13952e+07
1.10807e+01 1.46811e+02 1.13952e+07
1.10193e+01 1.46799e+02 1.13952e+07
1.09591e+01 1.46785e+02 1.13952e+07
1.08999e+01 1.46770e+02 1.13952e+07
1.08415e+01 1.46754e+02 1.13952e+07
1.07837e+01 1.46735e+02 1.13952e+07
1.07268e+01 1.46717e+02 1.13952e+07
1.06707e+01 1.46696e+02 1.13952e+07
1.06155e+01 1.46675e+02 1.13952e+07
1.05609e+01 1.46652e+02 1.13952e+07
1.05071e+01 1.46629e+02 1.13952e+07
1.04536e+01 1.46604e+02 1.13952e+07
1.04007e+01 1.46578e+02 1.13952e+07
1.03483e+01 1.46551e+02 1.13952e+07
1.02964e+01 1.46523e+02 1.13952e+07
1.02450e+01 1.46495e+02 1.13952e+07
1.01940e+01 1.46466e+02 1.13952e+07
1.01434e+01 1.46437e+02 1.13952e+07
1.00931e+01 1.46407e+02 1.13952e+07
1.00431e+01 1.46376e+02 1.13952e+07
9.99346e+00 1.46346e+02 1.13952e+07
9.94446e+00 1.46316e+02 1.13952e+07
9.89602e+00 1.46286e+02 1.13952e+07
9.84817e+00 1.46257e+02 1.13952e+07
9.80097e+00 1.46227e+02 1.13952e+07
9.75455e+00 1.46197e+02 1.13952e+07
9.70892e+00 1.46168e+02 1.13952e+07
9.66399e+00 1.46139e+02 1.13952e+07
9.61951e+00 1.46110e+02 1.13952e+07
9.57539e+00 1.46082e+02 1.13952e+07
9.53169e+00 1.46054e+02 1.13952e+07
9.48852e+00 1.46027e+02 1.13952e+07
9.44591e+00 1.45999e+02 1.13952e+07
9.40389e+00 1.45971e+02 1.13952e+07
9.36240e+00 1.45942e+02 1.13952e+07
9.32135e+00 1.45914e+02 1.13952e+07
9.28083e+00 1.45886e+02 1.13952e+07
9.24097e+00 1.45859e+02 1.13952e+07
9.20160e+00 1.45832e+02 1.13952e+07
9.16263e+00 1.45805e+02 1.13952e+07
9.12419e+00 1.45778e+02 1.13952e+07
9.08616e+00 1.45751e+02 1.13952e+07
9.04835e+00 1.45724e+02 1.13952e+07
9.01084e+00 1.45697e+02 1.13952e+07
8.97377e+00 1.45670e+02 1.13952e+07
8.93718e+00 1.45643e+02 1.13952e+07
8.90103e+00 1.45616e+02 1.13952e+07
8.86537e+00 1.45589e+02 1.13952e+07
8.83015e+00 1.45563e+02 1.13952e+07
8.79540e+00 1.45537e+02 1.13952e+07
8.76115e+00 1.45512e+02 1.13952e+07
8.72735e+00 1.45487e+02 1.13952e+07
