"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-57,0.9,-140.4,2.9,-13.5,0
"2 Global fit",-59.4,3.4,-147.7,10.4,-13.6,0.2
"3 1/Tm vs lnCT",-97.8753196940663,2.53455172477498,-264.898210592163,7.61960082266735,-15.7224376431187,0.171715382101635
