"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-53.4,0.3,-137.2,1,-10.8,0
"2 Global fit",-53.6,3.7,-138.1,11.9,-10.8,0
"3 1/Tm vs lnCT",-164.473628177702,24.3805281948388,-493.694378674543,77.437770954918,-11.3641905193664,0.365348037361262
