"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-57.7,0.3,-141.1,0.9,-14,0
"2 Global fit",-57.7,6.8,-141.1,20.5,-14,0.4
"3 1/Tm vs lnCT",-118.61331179103,4.22256336513075,-326.440155882601,12.6695623821612,-17.3744262471588,0.293569433197199
