"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-43.7,0.9,-102.8,2.8,-11.8,0
"2 Global fit",-44.5,3.9,-105.2,12.2,-11.8,0.1
"3 1/Tm vs lnCT",-133.798648274018,16.2175928328511,-385.311633096296,50.1850206077088,-14.3019515018634,0.653543770189687
