"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-47.9,0.5,-121.4,1.6,-10.3,0
"2 Global fit",-48.7,3,-123.8,9.9,-10.3,0
"3 1/Tm vs lnCT",-121.990027087865,20.8130895348638,-359.845556349158,66.2916911914602,-10.3911246973008,0.256752165765578
