"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-80,0.9,-206.6,2.7,-15.9,0.1
"2 Global fit",-80.4,12.8,-207.7,38.4,-16,0.9
"3 1/Tm vs lnCT",-103.226091423527,2.31631927524977,-275.333746735603,6.84696253212215,-17.836836548414,0.193080485171738
