"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-56.9,0.3,-139.1,1,-13.8,0
"2 Global fit",-57.1,4.8,-139.9,14.5,-13.8,0.3
"3 1/Tm vs lnCT",-113.177590270775,3.89549295723008,-311.090197253366,11.7157784622866,-16.699187396589,0.262266357405944
