"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-29.8,0.8,-59.4,2.7,-11.3,0
"2 Global fit",-31.4,2.2,-64.7,7.1,-11.4,0
"3 1/Tm vs lnCT",-174.819419599314,15.3989484888608,-515.852268821304,48.0118596579176,-14.8381554697631,0.509381387224519
