"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-58.3,1,-153,3.3,-10.8,0
"2 Global fit",-60,4.1,-158.3,13,-10.9,0.1
"3 1/Tm vs lnCT",-90.8837730708081,3.63596724667963,-255.307724752834,11.3699052882731,-11.7051883932117,0.110142869536227
