"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-75.8,0.5,-192.6,1.5,-16,0
"2 Global fit",-76,12.9,-193.3,38.4,-16,1
"3 1/Tm vs lnCT",-88.7679185900259,3.52212494536683,-231.505865827799,10.3220727659695,-16.9710044208505,0.320910012504301
