"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-44.2,0.9,-109.3,2.9,-10.3,0
"2 Global fit",-45.8,3.2,-114.3,10.5,-10.3,0.1
"3 1/Tm vs lnCT",-108.785731110218,14.3710039529418,-318.555500126978,45.8731337577859,-9.99211385583834,0.147631222432323
