"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-47.8,0.5,-116.2,1.6,-11.7,0
"2 Global fit",-48.7,4.7,-119,14.8,-11.8,0.1
"3 1/Tm vs lnCT",-180.592045366616,19.3155579536544,-533.481860935075,60.1303140641121,-15.1433158348215,0.666764583118054
