"Method","H","SE.H","S","SE.S","G","SE.G"
"1 VH plot",-19,1,-23.2,3.1,-11.7,0
"2 Global fit",-69.4,4.4,-174.7,13.2,-15.2,0.3
"3 1/Tm vs lnCT",-104.689192512184,2.56968405970221,-279.748742002063,7.59235015821822,-17.9307151550846,0.215261690115744
