#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
1.51076 2.5331e+06 28702.7
1.51887 2.48677e+06 28333.4
1.52698 2.44044e+06 27964.1
1.5351 2.39404e+06 27594.4
1.54321 2.34771e+06 27225.1
1.55132 2.30137e+06 26855.8
1.55944 2.25498e+06 26486.1
1.56755 2.20865e+06 26116.8
1.57567 2.16225e+06 25747.1
1.58378 2.11592e+06 25377.8
1.59189 2.06958e+06 25008.6
1.60001 2.02321e+06 24638.9
1.60812 1.98718e+06 24312
1.61623 1.95115e+06 23985.2
1.62435 1.91507e+06 23657.9
1.63246 1.87904e+06 23331.1
1.64058 1.84297e+06 23003.8
1.64869 1.80694e+06 22676.9
1.6568 1.77091e+06 22350.1
1.66492 1.73484e+06 22022.8
1.67303 1.69881e+06 21696
1.68114 1.66278e+06 21369.1
1.68926 1.6267e+06 21041.9
1.69737 1.59067e+06 20715
1.70549 1.55989e+06 20419.7
1.7136 1.53168e+06 20140.1
1.72171 1.50347e+06 19860.5
1.72983 1.47522e+06 19580.5
1.73794 1.44701e+06 19300.9
1.74605 1.4188e+06 19021.2
1.75417 1.39055e+06 18741.3
1.76228 1.36234e+06 18461.6
1.7704 1.33409e+06 18181.7
1.77851 1.30588e+06 17902.1
1.78662 1.27767e+06 17622.4
1.79474 1.24942e+06 17342.5
1.80285 1.22331e+06 17079.8
1.81096 1.2011e+06 16848.4
1.81908 1.17886e+06 16616.8
1.82719 1.15664e+06 16385.5
1.83531 1.1344e+06 16153.8
1.84342 1.11218e+06 15922.5
1.85153 1.08997e+06 15691.1
1.85965 1.06773e+06 15459.5
1.86776 1.04551e+06 15228.1
1.87587 1.0233e+06 14996.8
1.88399 1.00105e+06 14765.1
1.8921 978839 14533.8
1.90022 956724 14303.1
1.90833 939226 14106.8
1.91644 921728 13910.5
1.92456 904208 13714
1.93267 886710 13517.8
1.94078 869212 13321.5
1.9489 851692 13125
1.95701 834194 12928.7
1.96513 816674 12732.2
1.97324 799176 12535.9
1.98135 781677 12339.6
1.98947 764158 12143.1
1.99758 746659 11946.9
2.00569 731840 11773.1
2.01381 718143 11608.7
2.02192 704462 11444.5
2.03004 690765 11280.1
2.03815 677085 11115.9
2.04626 663405 10951.7
2.05438 649708 10787.3
2.06249 636027 10623.1
2.0706 622347 10458.9
2.07872 608650 10294.5
2.08683 594970 10130.3
2.09494 581289 9966.12
2.10306 568781 9812.81
2.11117 558253 9678.01
2.11929 547711 9543.04
2.1274 537182 9408.24
2.13551 526654 9273.44
2.14363 516112 9138.47
2.15174 505584 9003.67
2.15985 495055 8868.87
2.16797 484513 8733.9
2.17608 473985 8599.1
2.1842 463443 8464.13
2.19231 452914 8329.33
2.20042 442521 8195.89
2.20854 434590 8087.22
2.21665 426670 7978.68
2.22476 418749 7870.14
2.23288 410818 7761.47
2.24099 402898 7652.94
2.24911 394967 7544.27
2.25722 387047 7435.73
2.26533 379126 7327.19
2.27345 371195 7218.52
2.28156 363275 7109.98
2.28967 355354 7001.45
2.29779 347423 6892.78
2.3059 341048 6800.93
2.31402 335245 6715.22
2.32213 329448 6629.62
2.33024 323652 6544.02
2.33836 317848 6458.31
2.34647 312052 6372.71
2.35458 306256 6287.11
2.3627 300452 6201.4
2.37081 294656 6115.8
2.37893 288852 6030.09
2.38704 283056 5944.49
2.39515 277259 5858.89
2.40327 272132 5781.85
2.41138 268013 5717.75
