#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
  0.796748      1.19128e+07 2.1713e+06      1.36537e+07    83066.2
  0.804861      1.35186e+07 2.18206e+06      1.34419e+07    82122.7
  0.812975      1.18067e+07 2.15872e+06      1.32382e+07    81235.9
  0.821089      1.2308e+07 2.19229e+06      1.30345e+07    80349.1
  0.829203      1.56111e+07 2.08047e+06      1.28309e+07    79462.4
  0.837316      1.23078e+07 2.09414e+06      1.26272e+07    78575.7
   0.84543      1.34271e+07 2.05938e+06      1.24236e+07    77688.9
  0.853544      1.36804e+07 1.96553e+06      1.22199e+07    76802.2
  0.861658      1.0898e+07 2.01786e+06      1.20162e+07    75915.4
  0.869771      1.00531e+07 2.02809e+06      1.18126e+07    75028.8
  0.877885      1.12831e+07 2.0124e+06      1.16089e+07      74142
  0.885999      9.74176e+06 1.95042e+06      1.14052e+07    73255.2
  0.894113      8.35255e+06 2.0098e+06      1.12016e+07    72368.5
  0.902226      1.16685e+07 2.03083e+06      1.1005e+07    71514.5
   0.91034      1.47694e+07 2.02027e+06      1.08269e+07    70746.7
  0.918454      1.17708e+07 1.92526e+06      1.06489e+07    69978.9
  0.926567      1.31015e+07 1.97961e+06      1.04709e+07    69211.3
  0.934681      1.44657e+07 1.89877e+06      1.02929e+07    68443.5
  0.942795      1.03304e+07 1.9397e+06      1.01149e+07    67675.7
  0.950909      1.04371e+07 1.95477e+06      9.93685e+06    66907.9
  0.959022      7.48074e+06 1.91797e+06      9.75885e+06    66140.3
  0.967136      7.70238e+06 1.96703e+06      9.58083e+06    65372.5
   0.97525      7.84605e+06 1.94173e+06      9.40281e+06    64604.7
  0.983364      1.14809e+07 1.88256e+06      9.22479e+06    63836.9
  0.991477      8.48244e+06 1.84524e+06      9.04679e+06    63069.3
  0.999591      9.32934e+06 1.9238e+06      8.86876e+06    62301.5
    1.0077      6.50973e+06 1.86487e+06      8.71723e+06    61626.8
   1.01582      8.72618e+06 1.80162e+06      8.56689e+06    60956.2
   1.02393      8.90545e+06 1.89663e+06      8.41674e+06    60286.4
   1.03205      1.10882e+07 1.81951e+06      8.26641e+06    59615.7
   1.04016      9.00963e+06 1.83973e+06      8.11626e+06    58945.9
   1.04827      6.8008e+06 1.80137e+06      7.9661e+06    58276.1
   1.05639      8.24778e+06 1.84336e+06      7.81577e+06    57605.4
    1.0645      4.38285e+06 1.75982e+06      7.66562e+06    56935.6
   1.07261      6.10217e+06 1.80118e+06      7.51547e+06    56265.8
   1.08073      6.49893e+06 1.77622e+06      7.36513e+06    55595.1
   1.08884      8.12615e+06 1.74098e+06      7.21498e+06    54925.3
   1.09696      9.50164e+06 1.82209e+06      7.06464e+06    54254.7
   1.10507      6.34218e+06 1.7742e+06      6.93151e+06    53631.1
   1.11318      7.16984e+06 1.75196e+06      6.80859e+06    53035.2
    1.1213      7.79769e+06 1.70767e+06      6.68551e+06    52438.5
   1.12941      7.5995e+06 1.74075e+06      6.56258e+06    51842.6
   1.13752      5.49101e+06 1.77594e+06      6.43966e+06    51246.7
   1.14564          810957 1.72855e+06      6.31658e+06    50650.1
   1.15375      7.65283e+06 1.69582e+06      6.19366e+06    50054.2
   1.16187      8.39685e+06 1.64188e+06      6.07058e+06    49457.6
   1.16998      4.46702e+06 1.67732e+06      5.94765e+06    48861.7
   1.17809      5.79932e+06 1.67645e+06      5.82473e+06    48265.8
   1.18621      6.91562e+06 1.62873e+06      5.70165e+06    47669.1
   1.19432      6.33407e+06 1.62745e+06      5.57872e+06    47073.2
   1.20243      4.58247e+06 1.70318e+06      5.46321e+06    46496.7
   1.21055      6.90022e+06 1.64961e+06      5.3649e+06    45964.7
   1.21866      3.95014e+06 1.61976e+06      5.26672e+06    45433.4
   1.22678      5.29823e+06 1.63096e+06      5.16841e+06    44901.4
   1.23489      8.87849e+06 1.70606e+06      5.07023e+06    44370.1
     1.243      5.33065e+06 1.63104e+06      4.97204e+06    43838.8
   1.25112      5.86119e+06 1.69665e+06      4.87374e+06    43306.8
   1.25923      4.37001e+06 1.65885e+06      4.77555e+06    42775.4
