"","Metabolites","Conc.Mg","Mg.free"
"1","Ecoli80",2.2603161,0.212927819297672
"2","Ecoli80",2.2603161,0.212602938001363
"3","Ecoli80",2.2603161,0.207760405709036
"4","Ecoli80",2.76269338630192,0.234199031184409
"5","Ecoli80",2.76269338630192,0.239454163576671
"6","Ecoli80",2.76269338630192,0.235082434563528
"7","Ecoli80",3.056530441107,0.258201043680811
"8","Ecoli80",3.056530441107,0.255931821651856
"9","Ecoli80",3.056530441107,0.245761622840177
"10","Ecoli80",3.52223078896039,0.282052604139691
"11","Ecoli80",3.52223078896039,0.274022298700944
"12","Ecoli80",3.52223078896039,0.271172321412858
"13","Ecoli80",11.0260241,0.74671107674052
"14","Ecoli80",11.0260241,0.72933032121434
"15","Ecoli80",11.0260241,0.778753906485852
"16","Ecoli80",5.43010248492223,0.367748886937615
"17","Ecoli80",5.43010248492223,0.366276283855265
"18","Ecoli80",5.43010248492223,0.371689434385155
"19","Ecoli80",7.28408896301916,0.447017906462026
"20","Ecoli80",7.28408896301916,0.463070093845544
"21","Ecoli80",7.28408896301916,0.451596889783413
"22","Ecoli80",10.22245951107,0.646041078118945
"23","Ecoli80",10.22245951107,0.632718135754193
"24","Ecoli80",10.22245951107,0.625142236368177
"25","Ecoli80",14.8794629896039,0.834385023592732
"26","Ecoli80",14.8794629896039,0.868075913142202
"27","Ecoli80",14.8794629896039,0.870518590912569
"28","Ecoli80",22.2603161,1.28351095903846
"29","Ecoli80",22.2603161,1.3057033336466
"30","Ecoli80",22.2603161,1.26944325742843
"31","Ecoli80",33.9581799492223,2.32352057254138
"32","Ecoli80",33.9581799492223,2.17744562759109
"33","Ecoli80",33.9581799492223,2.33465092980979
"34","Ecoli80",52.4980447301916,4.71914953877073
"35","Ecoli80",52.4980447301916,4.82855559451778
"36","Ecoli80",52.4980447301916,4.69982968704869
"37","Ecoli80",81.8817502106994,7.16746018189568
"38","Ecoli80",81.8817502106994,6.16153661171601
"39","Ecoli80",81.8817502106994,6.49433355463414
"40","Ecoli80",42.2603161,3.18842615054961
"41","Ecoli80",42.2603161,3.21762455937758
"42","Ecoli80",42.2603161,2.96347136975362
"43","Ecoli80",202.2603161,9.57988327710378
"44","Ecoli80",202.2603161,11.7516061811626
"45","Ecoli80",202.2603161,10.5374566149254
"46","NTPCM",67.47375161,12.8668633407745
"47","NTPCM",67.47375161,11.2296617820025
"48","NTPCM",67.47375161,10.5126808194555
"49","NTPCM",58.47375161,7.79487774572044
"50","NTPCM",58.47375161,7.79074038641483
"51","NTPCM",58.47375161,8.66670813495154
"52","NTPCM",34.47375161,3.46390987499174
"53","NTPCM",34.47375161,3.49693295928468
"54","NTPCM",34.47375161,3.43900370497055
"55","NTPCM",19.87375161,1.32224852460994
"56","NTPCM",19.87375161,1.36711775824369
"57","NTPCM",19.87375161,1.33462035200831
"58","NTPCM",11.67375161,0.864108008968714
"59","NTPCM",11.67375161,0.870378379666301
"60","NTPCM",11.67375161,0.825428028169592
"61","NTPCM",7.07375161,0.521168963318713
"62","NTPCM",7.07375161,0.515308661575915
"63","NTPCM",7.07375161,0.582234533500754
"64","NTPCM",4.07375161,0.334938164734819
"65","NTPCM",4.07375161,0.329490706742127
"66","NTPCM",4.07375161,0.329759084614923
"67","NTPCM",2.47375161,0.219446358785034
"68","NTPCM",2.47375161,0.228512242756792
"69","NTPCM",2.47375161,0.229279233046967
"70","NTPCM",1.47375161,0.183762063926803
"71","NTPCM",1.47375161,0.167166724060052
"72","NTPCM",1.47375161,0.166107262205111
"73","NTPCM",0.87375161,0.126277598778197
"74","NTPCM",0.87375161,0.122591396442911
"75","NTPCM",0.87375161,0.129550103997976
"76","NTPCM",0.57375161,0.102427257017411
"77","NTPCM",0.57375161,0.101226935022415
"78","NTPCM",0.57375161,0.0907603899249667
"79","NTPCM",0.37375161,0.088071088400234
"80","NTPCM",0.37375161,0.0885262778435571
"81","NTPCM",0.37375161,0.0876160035813073
"82","NTPCM",0.27375161,0.0846280464365616
"83","NTPCM",0.27375161,0.0858183582542033
"84","NTPCM",0.27375161,0.0633456148520899
"85","NTPCM",0.17375161,0.0774580697592722
"86","NTPCM",0.17375161,0.076854561022035
"87","NTPCM",0.17375161,0.0801977305577209
"88","NTPCM",0.07375161,0.0690686301091269
"89","NTPCM",0.07375161,0.0669875580131646
