Well,Sample,EDTA,Conc.Mg,Temperature,Emission,Conc.HQS,Chelator
A10,No chelator,EDTA = 0 mM,0.2,37,9720,0.05,Pyruvate
A11,No chelator,EDTA = 0 mM,0.2,37,10255,0.05,Pyruvate
A12,No chelator,EDTA = 0 mM,0.2,37,9804,0.05,Pyruvate
B1,No chelator,EDTA = 0 mM,0,37,783,0.05,Pyruvate
B2,No chelator,EDTA = 0 mM,0,37,718,0.05,Pyruvate
B3,No chelator,EDTA = 0 mM,0,37,767,0.05,Pyruvate
B4,No chelator,EDTA = 80 mM,0,37,499,0.05,Pyruvate
B5,No chelator,EDTA = 80 mM,0,37,567,0.05,Pyruvate
B6,No chelator,EDTA = 80 mM,0,37,551,0.05,Pyruvate
B7,No chelator,EDTA = 0 mM,0.1,37,5957,0.05,Pyruvate
B8,No chelator,EDTA = 0 mM,0.1,37,5552,0.05,Pyruvate
B9,No chelator,EDTA = 0 mM,0.8,37,36854,0.05,Pyruvate
B10,No chelator,EDTA = 0 mM,1.4,37,53990,0.05,Pyruvate
B11,No chelator,EDTA = 0 mM,1.4,37,54907,0.05,Pyruvate
B12,No chelator,EDTA = 0 mM,1.4,37,53924,0.05,Pyruvate
C1,No chelator,EDTA = 0 mM,3.5,37,107907,0.05,Pyruvate
C2,No chelator,EDTA = 0 mM,3.5,37,110240,0.05,Pyruvate
C3,No chelator,EDTA = 0 mM,3.5,37,104838,0.05,Pyruvate
C4,No chelator,EDTA = 0 mM,4,37,117924,0.05,Pyruvate
C5,No chelator,EDTA = 0 mM,4,37,118030,0.05,Pyruvate
C6,No chelator,EDTA = 0 mM,4,37,111030,0.05,Pyruvate
C7,No chelator,EDTA = 0 mM,7,37,137732,0.05,Pyruvate
C8,No chelator,EDTA = 0 mM,7,37,134626,0.05,Pyruvate
C9,No chelator,EDTA = 0 mM,7,37,133996,0.05,Pyruvate
C10,No chelator,EDTA = 0 mM,11.6,37,154535,0.05,Pyruvate
C11,No chelator,EDTA = 0 mM,11.6,37,152980,0.05,Pyruvate
C12,No chelator,EDTA = 0 mM,11.6,37,150049,0.05,Pyruvate
D1,No chelator,EDTA = 0 mM,19.8,37,158332,0.05,Pyruvate
D2,No chelator,EDTA = 0 mM,19.8,37,155953,0.05,Pyruvate
D3,No chelator,EDTA = 0 mM,19.8,37,161570,0.05,Pyruvate
D4,No chelator,EDTA = 0 mM,34.4,37,170898,0.05,Pyruvate
D5,No chelator,EDTA = 0 mM,34.4,37,168498,0.05,Pyruvate
D6,No chelator,EDTA = 0 mM,34.4,37,176034,0.05,Pyruvate
D7,No chelator,EDTA = 0 mM,58.4,37,172478,0.05,Pyruvate
D8,No chelator,EDTA = 0 mM,58.4,37,183104,0.05,Pyruvate
D9,No chelator,EDTA = 0 mM,58.4,37,179320,0.05,Pyruvate
D10,No chelator,EDTA = 0 mM,67.4,37,182576,0.05,Pyruvate
D11,No chelator,EDTA = 0 mM,67.4,37,182272,0.05,Pyruvate
D12,No chelator,EDTA = 0 mM,67.4,37,177809,0.05,Pyruvate
E1,Chelator,EDTA = 0 mM,0.3,37,13790,0.05,Pyruvate
E2,Chelator,EDTA = 0 mM,0.3,37,14052,0.05,Pyruvate
E3,Chelator,EDTA = 0 mM,0.3,37,14581,0.05,Pyruvate
E4,Chelator,EDTA = 0 mM,0.5,37,22454,0.05,Pyruvate
E5,Chelator,EDTA = 0 mM,0.5,37,22661,0.05,Pyruvate
E6,Chelator,EDTA = 0 mM,0.5,37,21436,0.05,Pyruvate
E7,Chelator,EDTA = 0 mM,0.8,37,33178,0.05,Pyruvate
E8,Chelator,EDTA = 0 mM,0.8,37,36736,0.05,Pyruvate
E9,Chelator,EDTA = 0 mM,0.1,37,5732,0.05,Pyruvate
E10,Chelator,EDTA = 0 mM,0.2,37,9299,0.05,Pyruvate
E11,Chelator,EDTA = 0 mM,0.2,37,9158,0.05,Pyruvate
E12,Chelator,EDTA = 0 mM,0.2,37,8697,0.05,Pyruvate
F1,Chelator,EDTA = 0 mM,0,37,735,0.05,Pyruvate
F2,Chelator,EDTA = 0 mM,0,37,881,0.05,Pyruvate
F3,Chelator,EDTA = 0 mM,0,37,712,0.05,Pyruvate
F4,Chelator,EDTA = 80 mM,0,37,511,0.05,Pyruvate
F5,Chelator,EDTA = 80 mM,0,37,504,0.05,Pyruvate
F6,Chelator,EDTA = 80 mM,0,37,538,0.05,Pyruvate
F7,Chelator,EDTA = 0 mM,0.1,37,5312,0.05,Pyruvate
F8,Chelator,EDTA = 0 mM,0.1,37,5287,0.05,Pyruvate
F9,Chelator,EDTA = 0 mM,0.8,37,33910,0.05,Pyruvate
F10,Chelator,EDTA = 0 mM,1.4,37,50590,0.05,Pyruvate
F11,Chelator,EDTA = 0 mM,1.4,37,52905,0.05,Pyruvate
F12,Chelator,EDTA = 0 mM,1.4,37,50338,0.05,Pyruvate
G1,Chelator,EDTA = 0 mM,3.5,37,81877,0.05,Pyruvate
G2,Chelator,EDTA = 0 mM,3.5,37,84196,0.05,Pyruvate
G3,Chelator,EDTA = 0 mM,3.5,37,86067,0.05,Pyruvate
G4,Chelator,EDTA = 0 mM,4,37,93081,0.05,Pyruvate
G5,Chelator,EDTA = 0 mM,4,37,93287,0.05,Pyruvate
G6,Chelator,EDTA = 0 mM,4,37,93829,0.05,Pyruvate
G7,Chelator,EDTA = 0 mM,7,37,113734,0.05,Pyruvate
G8,Chelator,EDTA = 0 mM,7,37,112601,0.05,Pyruvate
G9,Chelator,EDTA = 0 mM,7,37,112914,0.05,Pyruvate
G10,Chelator,EDTA = 0 mM,11.6,37,124753,0.05,Pyruvate
G11,Chelator,EDTA = 0 mM,11.6,37,128671,0.05,Pyruvate
G12,Chelator,EDTA = 0 mM,11.6,37,127525,0.05,Pyruvate
H1,Chelator,EDTA = 0 mM,19.8,37,137626,0.05,Pyruvate
H2,Chelator,EDTA = 0 mM,19.8,37,142980,0.05,Pyruvate
H3,Chelator,EDTA = 0 mM,19.8,37,139033,0.05,Pyruvate
H4,Chelator,EDTA = 0 mM,34.4,37,141523,0.05,Pyruvate
H5,Chelator,EDTA = 0 mM,34.4,37,145200,0.05,Pyruvate
H6,Chelator,EDTA = 0 mM,34.4,37,147333,0.05,Pyruvate
H7,Chelator,EDTA = 0 mM,58.4,37,150143,0.05,Pyruvate
H8,Chelator,EDTA = 0 mM,58.4,37,155103,0.05,Pyruvate
H9,Chelator,EDTA = 0 mM,58.4,37,158159,0.05,Pyruvate
H10,Chelator,EDTA = 0 mM,67.4,37,159240,0.05,Pyruvate
H11,Chelator,EDTA = 0 mM,67.4,37,164565,0.05,Pyruvate
H12,Chelator,EDTA = 0 mM,67.4,37,158132,0.05,Pyruvate
