"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-55.9928084561654,0.216066059761937,-135.952801576754,0.656502860458067,-13.8270470471353,0.012538877244244,0.423571002336853,1.34700434343878,0.910154884898507
"2 Global fit",-55.9658259028273,8.87974968138721,-135.87191574512,26.9585977156158,-13.8251512344783,0.521713628353049,0.423571002336853,1.34700434343878,0.910154884898507
"3 1/Tm vs lnCT",-140.785395871705,6.97425548809849,-392.894261368814,20.9001925500497,-18.9370985933953,0.492419290999794,NA,1.34700434343878,0.910154884898507
