Well,A,B
D1,200,1000
D2,200,800
D3,200,600
D4,200,400
D5,200,250
D6,200,200
D7,200,150
D8,200,100
D9,200,50
D10,200,10
D11,200,1
D12,200,0
E1,200,1000
E2,200,800
E3,200,600
E4,200,400
E5,200,250
E6,200,200
E7,200,150
E8,200,100
E10,200,10
E11,200,1
E12,200,0
F1,200,1000
F2,200,800
F3,200,600
F4,200,400
F5,200,250
F6,200,200
F7,200,150
F8,200,100
F9,200,50
F10,200,10
F11,200,1
F12,200,0
