"Temperature","K","SE.K","Fmax","Fmin","Helix","Condition","K_error"
23.36404779,1479976849.3097,1258523251.21501,1.08580282052594,0.381341153229282,"F","Monovalent",0.423570993028423
23.83872474,1466476881.37643,1244406186.5355,1.09195879084607,0.383922988459788,"F","Monovalent",0.423570993028423
24.30990237,1451975271.16537,1251712915.24937,1.098652093084,0.38700553992928,"F","Monovalent",0.423570993028423
24.7790939,1502308002.74994,1327314833.09719,1.10650677751304,0.390194531304184,"F","Monovalent",0.423570993028423
25.25263594,1536707191.69268,1361101744.97012,1.11375022792659,0.39296786488522,"F","Monovalent",0.423570993028423
25.72835322,1632714645.34261,1485659296.57051,1.12093629342485,0.395106504135031,"F","Monovalent",0.423570993028423
26.20085491,1524778949.44906,1362066868.24875,1.12574702466077,0.397670202583921,"F","Monovalent",0.423570993028423
26.67051933,1437246001.16159,1248379240.36855,1.13545224380469,0.39945200730299,"F","Monovalent",0.423570993028423
27.1411295,1525376866.55257,1398965868.00482,1.14212400452319,0.402294550128442,"F","Monovalent",0.423570993028423
27.61940034,1505143230.31484,1390969366.41539,1.14892533978239,0.404586724664718,"F","Monovalent",0.423570993028423
28.0908617,1582806876.40544,1522529916.59008,1.15707615915161,0.406640616505925,"F","Monovalent",0.423570993028423
28.56705186,1516727783.96676,1465781072.81702,1.16355974626618,0.409240100282907,"F","Monovalent",0.423570993028423
29.03643254,1575018125.9335,1552982383.9149,1.17262178364372,0.41215999572457,"F","Monovalent",0.423570993028423
29.50628611,1604488399.51824,1611346021.29609,1.17938562173336,0.414065755175601,"F","Monovalent",0.423570993028423
29.98342203,1612943982.20121,1676285057.75615,1.18632040329511,0.416834436583694,"F","Monovalent",0.423570993028423
30.45412678,1590148068.28842,1660269373.63481,1.19491948870862,0.41913848291085,"F","Monovalent",0.423570993028423
30.92435866,1613547473.83322,1735875879.73468,1.20086423055958,0.421961741203296,"F","Monovalent",0.423570993028423
31.40253491,1537303526.52897,1629740278.54286,1.2070087156025,0.424543626473085,"F","Monovalent",0.423570993028423
31.88430506,1517551157.43368,1611628521.93491,1.21510723754505,0.426178274272293,"F","Monovalent",0.423570993028423
32.34593051,1619534966.34953,1785622535.3779,1.22460324466622,0.429323208878639,"F","Monovalent",0.423570993028423
32.8220261,1554209940.90048,1728827598.91935,1.23201722799488,0.431856648924896,"F","Monovalent",0.423570993028423
33.2949061,1486442572.91278,1633592779.77087,1.23952324407252,0.434331424660522,"F","Monovalent",0.423570993028423
33.76684034,1445693086.5451,1625267664.81664,1.24689076861905,0.437115428076149,"F","Monovalent",0.423570993028423
34.24113898,1421659216.5829,1599789421.28819,1.25321526477174,0.439621245297056,"F","Monovalent",0.423570993028423
34.71297864,1429973051.56253,1630705307.01263,1.25900493951635,0.442483711380403,"F","Monovalent",0.423570993028423
35.18566949,1452849887.62359,1666447841.9724,1.26932247057318,0.445277497001647,"F","Monovalent",0.423570993028423
35.65713085,1405242440.6778,1614515316.35608,1.27824966162985,0.448064878742919,"F","Monovalent",0.423570993028423
36.13142949,1312304352.06422,1454439652.64591,1.28379735300911,0.450559787514283,"F","Monovalent",0.423570993028423
36.60317458,1254066981.807,1370950859.04639,1.29011996778946,0.453812410229307,"F","Monovalent",0.423570993028423
37.07548712,1229387813.73198,1364157260.13128,1.29686383736945,0.456294343934255,"F","Monovalent",0.423570993028423
37.54893458,1272547258.62203,1440022327.13701,1.30347446736271,0.459887517038142,"F","Monovalent",0.423570993028423
38.02190915,1246293889.66348,1424636566.10554,1.31241241166214,0.462884432628786,"F","Monovalent",0.423570993028423
38.49478915,1124685580.05619,1217250434.61618,1.3192691021853,0.464977631102997,"F","Monovalent",0.423570993028423
38.96662882,1086313310.24849,1169036098.17598,1.32681075558794,0.468138307236705,"F","Monovalent",0.423570993028423
39.44045458,1017306152.95961,1084833699.85123,1.33435305961196,0.470985196200481,"F","Monovalent",0.423570993028423
39.91324,970758551.409351,997549120.672193,1.34145649799666,0.474004592006033,"F","Monovalent",0.423570993028423
40.38716034,881614066.224312,890311876.034131,1.34809695312492,0.476468839857356,"F","Monovalent",0.423570993028423
40.85975661,837256683.148756,818579075.019929,1.35766316704588,0.479213994347231,"F","Monovalent",0.423570993028423
41.33074509,772104793.570548,740801182.007842,1.36577432152261,0.481538610489123,"F","Monovalent",0.423570993028423
41.80598949,727715077.034618,684693539.082446,1.37383291921676,0.484412968027329,"F","Monovalent",0.423570993028423
42.27603221,665263896.791386,604588646.278476,1.38049291637344,0.487707654366648,"F","Monovalent",0.423570993028423
42.75118203,625576370.135,556520174.817169,1.39054355164776,0.490357826284426,"F","Monovalent",0.423570993028423
43.22368373,592914309.145117,517488849.408566,1.39714864009857,0.493229099228592,"F","Monovalent",0.423570993028423
43.69505051,555257284.235468,477998831.242246,1.40505763483082,0.49649295759903,"F","Monovalent",0.423570993028423
44.16745763,479739395.918196,384400391.274811,1.41261854202817,0.498711756909827,"F","Monovalent",0.423570993028423
44.64147254,458664752.922135,361113450.941189,1.42024803617671,0.502514455920083,"F","Monovalent",0.423570993028423
45.11482542,406529881.689639,306571744.048496,1.4281336787273,0.505151260927458,"F","Monovalent",0.423570993028423
45.58798915,372913462.197447,268011091.385153,1.43581459320026,0.507846193175551,"F","Monovalent",0.423570993028423
46.05982882,341907434.518579,239811476.482932,1.44246242451755,0.511560161034742,"F","Monovalent",0.423570993028423
46.53450576,308511987.859329,207260535.831401,1.45044487282451,0.514608964102902,"F","Monovalent",0.423570993028423
47.00435933,275638060.105209,178030541.11469,1.45401889943309,0.518261079553743,"F","Monovalent",0.423570993028423
47.48017118,245425580.469464,149540747.54734,1.46183818130819,0.522126754261326,"F","Monovalent",0.423570993028423
47.95011933,225850394.352973,135468187.397131,1.46723740490175,0.526003609232956,"F","Monovalent",0.423570993028423
48.4247017,203922568.202579,116362222.952802,1.47583758694713,0.530428229290986,"F","Monovalent",0.423570993028423
48.89777085,181488160.195112,99334322.3298257,1.48046019584472,0.534314769614428,"F","Monovalent",0.423570993028423
49.37178576,165638888.069525,88139110.3764983,1.4883475329394,0.539728473807003,"F","Monovalent",0.423570993028423
49.8433417,146258898.975843,74104541.6618513,1.49438280827644,0.544638486476902,"F","Monovalent",0.423570993028423
50.31537051,131436226.779996,64166405.7125184,1.50067045864636,0.550452657886605,"F","Monovalent",0.423570993028423
50.78872339,115926142.902992,54644059.258553,1.50613240328408,0.55635769051629,"F","Monovalent",0.423570993028423
51.26264373,101081042.113901,45194768.9542458,1.51018197088174,0.561778672552851,"F","Monovalent",0.423570993028423
51.73495627,90061051.951222,38899836.0086449,1.51745007140395,0.568813050875827,"F","Monovalent",0.423570993028423
52.20689051,79769611.3369142,33237458.83225,1.52278871678184,0.576334364666674,"F","Monovalent",0.423570993028423
52.68194576,71007517.6371186,28653076.6380032,1.52785374771379,0.585195998179133,"F","Monovalent",0.423570993028423
53.15558237,61332901.6094155,23835381.5369695,1.5335110140745,0.592397133281288,"F","Monovalent",0.423570993028423
53.62808406,53863460.6758728,20279570.0235129,1.53914275388526,0.600976072137902,"F","Monovalent",0.423570993028423
54.10105864,48232480.1756926,17855551.4570789,1.54291394620412,0.614241924406975,"F","Monovalent",0.423570993028423
54.57233085,42317622.1815594,15334763.647103,1.54964335230192,0.624910570638643,"F","Monovalent",0.423570993028423
55.0454,37505233.9050689,13702482.997442,1.55551774935322,0.638342644336391,"F","Monovalent",0.423570993028423
55.51733424,33078130.6520344,11823950.3253632,1.56234263339249,0.653082644542055,"F","Monovalent",0.423570993028423
55.99059254,28984591.5967884,10329522.3049449,1.56556124840851,0.668848461309871,"F","Monovalent",0.423570993028423
56.46347254,25618989.3581942,9105145.63459264,1.57087650262364,0.686529959827832,"F","Monovalent",0.423570993028423
56.93805491,22998452.2028217,8338005.79436406,1.57780101902657,0.706275658517456,"F","Monovalent",0.423570993028423
57.40951627,20254426.10259,7432930.83463585,1.58387903621925,0.7251747406757,"F","Monovalent",0.423570993028423
57.88343661,17698781.6835639,6545004.92666861,1.58810880967943,0.745446664796762,"F","Monovalent",0.423570993028423
58.35565458,15892905.0522273,6070013.21037426,1.59209835304622,0.77201948482289,"F","Monovalent",0.423570993028423
58.82853458,14130231.3829981,5547019.77893193,1.59649521168963,0.797793052143196,"F","Monovalent",0.423570993028423
59.29952306,12765827.4073786,5167800.5546152,1.60126156034726,0.827402723002353,"F","Monovalent",0.423570993028423
59.77211933,11076553.8341944,4660853.50973384,1.60159641313898,0.85370049799507,"F","Monovalent",0.423570993028423
60.24632339,9617957.98107342,4194334.43224985,1.60525470129727,0.878771813824433,"F","Monovalent",0.423570993028423
